Organisational Code,Organisation Name,Reference no,Lot title,Lot description,Company name,Registration number,SME,VCS,Contact name,Postcode,Reference no2,Lots,Title,Department,Buyer,Description,Description of the geographical coverage,Start date,End date,Awarded date,Review date,Appraisal date,Display until date,Visibility,Initial contract period (months),Total option to extend (months),Total contract period (months),Available No. of Ext.,Available extension details,Taken No. of Ext.,Taken Extension details,Estimated value,Estimated annual value,VAT not recovered,Internal ID,Primary contact,Process used,OJEU,Open to other organisations,Participating organisations,Central purchasing body,Framework type,Keywords,Categories,Public notes,Portal notes,Private notes
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN466400, N/A , N/A , Carers Support Service ,3377199,FALSE,  ,Redacted, BS16 2QQ,DN466400,1,Carers Support Service Extension Due to PEP and COVID 19 (Parent Carers),People,Bristol City Council,Carers Support Service Extension Due to PEP (Parent Carers),,44013,44561,43882,44104,,44196,Public,18,N/A,18,,,0,,"£30,870.00","£20,580.00",£0.00,PR0402,Redacted,Other (Direct Award),No,No,,Bristol City Council,N/A,,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN466418, N/A , N/A , Bristol and Avon Chinese Women's Group , N/A ,FALSE, N/A ,Redacted, BS2 9LL,DN466418,1,Carers Support Service Extension due to PEP nd COVID 19 (Bristol and Avon Chinese Womens Group),People,Bristol City Council,Carers Support Service Extension due to PEP (Bristol and Avon Chinese Womens Group),,44013,44561,43882,44104,,44196,Public,18,N/A,18,,,0,,"£54,771.00","£36,514.00",£0.00,PR0399,Redacted,Other (direct award),No,No,,Bristol City Council,N/A,,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN467140, N/A , N/A , S.I.L.S ,4402760,FALSE, N/A ,Redacted, BS15 8DT,DN467140,1,Support to Access the Community required 368501,People,Bristol City Council,STAC,,44039,44404,44032,44404,,44255,Public,12,N/A,12,,,0,,"£1,248.60","£1,248.60",£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN469168, N/A , N/A , Belgrave School ,4061265,FALSE, N/A ,Redacted, BS82XH,DN469168,1,SEND Independent Non Maintained School Placement Request,People,Bristol City Council,Independent non maintained day school fees for student at Belgrave School.,,44075,44439,43894,44317,,44439,Public,12,36,48,3,"Period: 12 months | Estimated start date: 01/09/2021 | Estimated end date: 31/08/2022 | Comment: Year 1, Period: 12 months | Estimated start date: 01/09/2022 | Estimated end date: 31/08/2023 | Comment: Year 2, Period: 12 months | Estimated start date: 01/09/2023 | Estimated end date: 01/09/2024 | Comment: Year 3",0,,"£97,042.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,Belgrave School,"91110000 - Domestic and personal assistance, 86120000 - Educational institutions, 86130000 - Specialized educational services, 93140000 - Community and social services, 91111600 - Household assistance and care, 91111900 - Personal care services, 90111900 - Specialized accommodation services, 85101600 - Healthcare provider support persons, 85122100 - Rehabilitation services, 85151600 - Nutrition issues, 93141500 - Social development and services, 93141600 - Population, 93141700 - Culture, 91000000 - Personal and Domestic Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN470237, N/A , N/A , Signis Ltd ,8983010,FALSE, N/A ,Redacted, CV5 6UB,DN470237,1,"Advocacy Service for Children in Care, Care Leavers and Children Subject to Child Protection Conferences",People,Bristol City Council,"Advocacy is about empowering children and young people to make sure that their views and wishes are heard at all times and represented in decision making processes. The Council’s vision is that all children and young people in Bristol feel listened to and empowered, have choice and control over their support, and have their rights upheld. Furthermore, the views put forward by children and young people should inform the development of the Council’s services. The service will provide advocacy services for Bristol’s Children and Young People in Care, Care Leavers and Children and Young People subject to Child Protection conferences.",,44075,44804,44048,44684,,44804,Public,24,12,36,3,,0,,"£287,500.00",£0.00,£0.00,PR0572,Redacted,ITT,No,No,,Bristol City Council,N/A,Advocacy,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN470664, N/A , N/A , Belgrave School ,109382,FALSE,  ,Redacted, BS8 2XH,DN470664,1,SEND Independent Non Maintained School Placement Request - BELGRAVE,People,Bristol City Council,SEND Independent Non Maintained School Placement Request - BELGRAVE,,44075,45535,43902,44382,,45535,Public,12,36,48,3,,0,,"£145,380.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,Belgrave School,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN472407, N/A , N/A , Belgrave School ,12526902,FALSE,  ,Redacted, BS1 6HL,DN472407,1,536229JM - SEND Placement,People,Bristol City Council,SEND Placement,,44075,45169,43913,44286,,45169,Public,36,N/A,36,,,0,,"£51,777.00",£0.00,£0.00,,Redacted,Other (Direct Award),No,No,,Bristol City Council,N/A,,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN472498, N/A , N/A , Belgrave School ,110984,FALSE,  ,Redacted, BS8 2XH,DN472498,1,SEND Independent Non Maintained School Placement Request,People,Bristol City Council,"10 Upper Belgrave Rd, Clifton, Bristol BS8 2XH",,44075,45169,,44986,,45169,Public,42,N/A,42,,,0,,"£51,777.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,Belgrave School,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN474363, N/A , N/A , Western Power Distribution ,9223384,FALSE,  ,Redacted, BS2 0TB,DN474363,1,11kV Power Supply for Castle Park Energy Centre,Growth & Regeration,Bristol City Council,Electricity supply for the energy centre at Castle Park.,,44073,44165,43935,44134,,44165,Public,3,N/A,3,,,0,,"£85,663.00",£0.00,£0.00,,Redacted,Other (Direct Award - Competition absent for technical reasons),No,No,,Bristol City Council,N/A,,83101800 - Electric utilities,,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN474384, N/A , N/A , Power Electrics (Bristol) Ltd ,776704,FALSE, N/A ,Redacted, BS30 8TY,DN474384,1,City Hall Standby Generator Replacement,Resources,Bristol City Council,"Removal of the existing standby power generator and its replacement with a new, correctly sized generator, including, but not restricted to; all connections, new fuel tank, alarms, controls, exhaust, ventilation, control panels, fire prevention devices, monitoring devices, automatic controls.",,44104,44118,44039,44116,,44118,Public,1,N/A,1,,,0,,"£75,558.45",£0.00,£0.00,PR0827,Redacted,RFQ,No,No,,Bristol City Council,N/A,,,,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN475374, N/A , N/A , Jubb Consulting Engineers Ltd ,4080619,FALSE,  ,Redacted, PL6 8LR,DN475374,1,601 Whitchurch Lane Structural Engineering Services,Growth & Regeration,Bristol City Council,601 Whitchurch Lane Structural Engineering Services,,44063,45565,43994,45199,,45565,Public,48,N/A,48,,,0,,"£44,260.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,,81101500 - Civil engineering,,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN475385, N/A , N/A , Qoda Consulting Ltd ,7440295,FALSE,  ,Redacted, SN7 7PN,DN475385,1,601 Whitchurch Lane Building Services Engineer,Growth & Regeration,Bristol City Council,601 Whitchurch Lane Building Services Engineer,,44063,45565,43994,45199,,45565,Public,48,N/A,48,,,0,,"£34,794.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,,"81101600 - Mechanical engineering, 81101700 - Electrical and electronic engineering, 81102200 - Transportation engineering, 81102500 - Permitting services, 81102600 - Sampling services, 81102700 - Instrumented control systems design and engineering services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN476576, N/A , N/A , Bristol Grammar School , NR ,FALSE,  ,Redacted, BS81SR,DN476576,1,SEND Independent Non Maintained School Placement Request,People,Bristol City Council,SEND Independent Non Maintained School Placement Request,,44075,45900,43951,45809,,46112,Public,60,N/A,60,,,0,,"£20,000.00",£0.00,£0.00,PR0504,Redacted,Other (Contract £5-25k),No,No,,Bristol City Council,N/A,,"86110000 - Alternative educational systems, 86120000 - Educational institutions, 86140000 - Educational facilities, 86121500 - Elementary and secondary schools",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN480477, N/A , N/A , St Roses School ,1012273,FALSE,  ,Redacted, GL5 4AP,DN480477,1,Independent Non Maintained School Placement Request St Roses/St,People,Bristol City Council,SEND Independent Non Maintained School Placement Request,,44081,44439,,44235,,44439,Public,12,N/A,12,,,0,,"£36,532.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,St Roses,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN480649, N/A , N/A , Aurora ASD Limited T/A Aurora Hedgeway ,1043031,FALSE,  ,Redacted, BS35 4JN,DN480649,1,SEND Independent Non Maintained School Placement Request Aurora Hedgeway School,People,Bristol City Council,SEND Independent Non Maintained School Placement Request Aurora Hedgeway School,,44075,45900,,45536,,45900,Public,60,N/A,60,,,0,,"£390,245.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,Aurora,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN480763, N/A , N/A , Delib Ltd. ,5158056,FALSE, N/A ,Redacted, BS1 4JZ,DN480763,1,Citizen Space Community Subscription,Growth & Regeration,Bristol City Council,Citizen Space Community Subscription,,44017,44381,43984,44290,,44651,Public,12,N/A,12,,,0,,"£7,995.00","£7,995.00",£0.00,PR0623,Redacted,Other (Contract £5-25k),No,No,,Bristol City Council,N/A,,"81110000 - Computer services, 81160000 - Information Technology Service Delivery, 81111500 - Software or hardware engineering, 81161500 - Access management services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN481512, N/A , N/A , Analysys Mason ,5177472,FALSE, N/A ,Redacted, M5 3EF,DN481512,1,MEOP Report,Growth & Regeration,Bristol City Council,MEOP Report to support application for DCMS funding application.,,44044,44128,44033,44105,,44128,Organisation,3,N/A,3,,,0,,"£39,000.00","£39,000.00",£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,,80121600 - Business law services,,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN481774, N/A , N/A , Bloom Procurement Services Ltd  ,8045123,FALSE, N/A ,Redacted, NE8 2ET,DN481774,1,Stepping UP 2020 - Diversity Leadership Programme,Resources,Bristol City Council,"Tender process completed by Bloom - Contract Record Only.
The purpose of the contract is continue to deliver the 12 month Diversity Leadership Programme, Stepping UP",,44044,44957,43991,44834,,44957,Public,44,24,68,2,,0,,"£283,000.00",£0.00,£0.00,PRF0523,Redacted,RFQ,No,No,,Bristol City Council,N/A,,"86132200 - Educational support services, 86141500 - Educational guidance services, 86000000 - Education and Training Services",,,"RFQ completed by Bloom - Nepro 3 Framework
Davidson & Partners awarded supplier but we are invoiced directly from Bloom."
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN481988, N/A , N/A , Sedgemoor Manor School (formerly Mark College) , TA9 4NP  ,FALSE,  ,Redacted, TA9 4NP ,DN481988,1,SEND Independent Non Maintained School Placement Request Sedgemoor Manor School.,People,Bristol City Council,SEND Independent Non Maintained School Placement Request Sedgemoor Manor School.,,44075,45169,,44804,,45169,Public,36,N/A,36,,,0,,"£304,405.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,Sedgemoor,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN482106, N/A , N/A , NORTHGATE PUBLIC SERVICES (UK) LIMITED ,968498,FALSE,  ,Redacted, HP2 4NW,DN482106,1,Provision of A Revenues and Benefits Management System,Resources,Bristol City Council,"Provision of the Revenue and Benefits System (iWorld), Information@Work and SaaS public micro-services to support the management of Revs and Bens. Support and Maintenance.",,44013,46568,44013,45691,,46568,Public,60,24,84,2,"Period: 12 months | Estimated start date: 01/07/2025 | Estimated end date: 30/06/2026 | Comment: option to extend for year six, Period: 12 months | Estimated start date: 01/07/2026 | Estimated end date: 30/06/2027 | Comment: option to extend for year seven",0,,"£1,424,075.00","£259,805.00",£0.00,CPG2001-A PR0941,Redacted,RFQ,No,No,,Bristol City Council,N/A,,"43230000 - Software, 55111600 - Electronic software reference material, 81112500 - Computer software licensing rental or leasing service",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN482148, N/A , N/A , St Roses College ,1012273,FALSE,  ,Redacted, GL5 4AP,DN482148,1,SEND Independent Non Maintained School Placement Request St Rose's College,People,Bristol City Council,SEND Independent Non Maintained School Placement Request St Rose's College,,44075,44439,,44260,,44439,Public,12,N/A,12,,,0,,"£54,770.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN482171, N/A , N/A , Belgrave School ,12526902,FALSE,  ,Redacted, BS8 2XH,DN482171,1,SEND Independent Non Maintained School Placement Request Belgrave School.,People,Bristol City Council,SEND Independent Non Maintained School Placement Request Belgrave School.,,44075,44804,,44439,,44804,Public,24,N/A,24,,,0,,"£30,650.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,Belgrave School,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN482391, N/A , N/A , the national autistic society ,1205298,FALSE, N/A ,Redacted, ec1v 1ng,DN482391,1,Autism Education Trust Training Partner,People,Bristol City Council,Autism Education Trust Training Partner,,44075,44286,43994,44197,,44286,Public,7,N/A,7,,,0,,"£7,085.00",£0.00,£0.00,PR0674,Redacted,Other (Contract £5-25k),No,No,,Bristol City Council,N/A,,"86110000 - Alternative educational systems, 86120000 - Educational institutions, 86130000 - Specialized educational services, 86140000 - Educational facilities, 86111800 - Educational exchanges, 86121500 - Elementary and secondary schools",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN482480, N/A , N/A , Cambian Childcare Limited ,4280519,FALSE, N/A ,Redacted, EN6 1AG,DN482480,1,SEND Independent Non Maintained School Placement - Cambian Forum School,Resources,Bristol City Council,SEND Placement,,44075,44439,43997,44263,,44439,Public,12,0,12,0,,0,,"£255,548.00",£0.00,£0.00,PR0663,Redacted,Other (Waiver),No,No,,Bristol City Council,N/A,,"86110000 - Alternative educational systems, 86120000 - Educational institutions, 86130000 - Specialized educational services, 86140000 - Educational facilities, 93140000 - Community and social services, 86111800 - Educational exchanges, 86121500 - Elementary and secondary schools, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN482564, N/A , N/A , Govtech Solutions Ltd ,6841737,FALSE, N/A ,Redacted, GL7 6JJ,DN482564,1,"Provision of Govtech software licensing, support and maintenance",ICT,Bristol City Council,"Direct Award via G-Cloud 11 framework to secure the Provision of Govtech software licensing, support and maintenance services to support the Revs and Bens function.",,44013,45473,43997,44652,,45473,Organisation,24,12,36,2,"Period: 12 months | Estimated start date: 01/07/2022 | Estimated end date: 30/06/2023 | Comment: Pricing set and fixed within initial term contract, Period: 12 months | Estimated start date: 01/07/2023 | Estimated end date: 30/06/2024 | Comment: Pricing set and fixed within initial term contract",0,,"£341,000.00","£84,684.00",£0.00,CPG2001-A,Redacted,RFQ,No,No,,Bristol City Council,N/A,,"43230000 - Software, 55111600 - Electronic software reference material, 81112500 - Computer software licensing rental or leasing service",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN482570, N/A , N/A , entitledto ltd. ,5191376,FALSE, N/A ,Redacted, WA15 8QN,DN482570,1,"Provision of Entiltedto licensing, support and maintenance",ICT,Bristol City Council,"G-Cloud 11 award for the provision of Entiltledto licensing, support and maintenance to support the Revs and Bens service.",,44013,45473,43997,44652,,45473,Organisation,24,12,36,2,"Period: 12 months | Estimated start date: 01/07/2022 | Estimated end date: 30/06/2023 | Comment: Pricing set and fixed at time of initial period, Period: 12 months | Estimated start date: 01/07/2023 | Estimated end date: 30/06/2024 | Comment: Pricing set and fixed at time of initial period",0,,"£24,000.00","£6,000.00",£0.00,CPG2001-A,Redacted,RFQ,No,No,,Bristol City Council,N/A,,"43230000 - Software, 55111600 - Electronic software reference material, 81112500 - Computer software licensing rental or leasing service",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN482958, N/A , N/A , Insight UK ,5417477,FALSE, N/A ,Redacted, UB8 1PH,DN482958,1,VmWare Subscriptions & Support,ICT,Bristol City Council,"Software Licenses and Support Contract for VMWare Host Software. There are 61 VMWare hosts (servers) within BCC and these servers host all of BCC’s virtualised servers including; BACS payment system(s), email services, adult care system, new unified communications system etc.",,44035,44399,44028,44348,,44399,Organisation,12,N/A,12,,,0,,"£90,000.00","£76,000.00",£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,,"43230000 - Software, 55111600 - Electronic software reference material, 81112500 - Computer software licensing rental or leasing service",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN483063, N/A , N/A , Bytes Software Services ,1616977,FALSE, N/A ,Redacted, KT22 7TW,DN483063,1,Ivanti LANDesk Service Management (Upgraded to Hosted Tool),Business Change,Bristol City Council,"Direct Award Reference: Y17038 Software Products and Associated Services

LANDesk (The tool we use to track all ICT tickets, requests and upgrades through the council)",,44013,45137,44000,44927,,45107,Public,36,0,36,,"Period: 12 months | Estimated start date: 01/07/2023 | Estimated end date: 30/06/2024 | Comment: 1st extension, Period: 12 months | Estimated start date: 01/07/2024 | Estimated end date: 30/06/2025 | Comment: 2nd extension",0,,"£456,615.00",£0.00,£0.00,PR0678,Redacted,Other (Direct Award),No,No,,Bristol City Council,N/A,,"43230000 - Software, 55111600 - Electronic software reference material, 81112500 - Computer software licensing rental or leasing service",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN483234, N/A , N/A , Caremark Bristol ,9989158,FALSE, N/A ,Redacted, BS8 2HH,DN483234,1,Home Care Legacy Contracts COVID 19 Extension,People,Bristol City Council,"Homecare Contracts 

1. CM £420810.00

2. Noblis £146,692.00

3. SR HC £258,752.00",,44044,44408,43984,44197,,44408,Public,12,N/A,12,,,0,,"£826,254.00","£826,254.00",£0.00,PR0497,Redacted,Other (Direct award during COVID 19),No,No,,Bristol City Council,N/A,,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN483234, N/A , N/A , Nobilis Care ,6473742,FALSE, N/A ,Redacted, SO15 0HW,DN483234,1,Home Care Legacy Contracts COVID 19 Extension,People,Bristol City Council,"Homecare Contracts 

1. CM £420810.00

2. Noblis £146,692.00

3. SR HC £258,752.00",,44044,44408,43984,44197,,44408,Public,12,N/A,12,,,0,,"£826,254.00","£826,254.00",£0.00,PR0497,Redacted,Other (Direct award during COVID 19),No,No,,Bristol City Council,N/A,,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
