Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,160,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Pavilion - Annual TMV Service                                                                                                                                                                                                                                                                       ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,895,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Sports Centre - Annual TMV Service                                                                                                                                                                                                                                                                  ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,125,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Tennis Centre - Annual TMV Service                                                                                                                                                                                                                                                                  ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,137,5627,Corporate Buildings                                                                                                                                                                                     ,Exmouth Town Hall - Annual TMV Service                                                                                                                                                                                                                                                                      ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,285,5627,Sports Grounds                                                                                                                                                                                          ,Exmouth - Withycombe Pitches Chg Rms - Annual                                                                                                                                                                                                                                                               ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,132,5627,Sports Grounds                                                                                                                                                                                          ,Honiton - Allhallows Changing Rooms - Annual                                                                                                                                                                                                                                                                ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,325,5627,Corporate Buildings                                                                                                                                                                                     ,Honiton Blackdown House - Annual TMV Service                                                                                                                                                                                                                                                                ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,15,5627,Corporate Buildings                                                                                                                                                                                     ,Honiton - East Devon Business Centre - Annual                                                                                                                                                                                                                                                               ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,0,5627,Arts Development                                                                                                                                                                                        ,Honiton - Elmfield House/Gallery - Annual TMV                                                                                                                                                                                                                                                               ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,784,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Honiton Sports Centre - Annual TMV Service                                                                                                                                                                                                                                                                  ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,0,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Honiton Swimming Pool - Annual TMV Service                                                                                                                                                                                                                                                                  ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,398,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Ottery St Mary Sports Centre - Annual TMV Ser                                                                                                                                                                                                                                                               ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,355,5627,Sports Grounds                                                                                                                                                                                          ,Sidmouth - Byes Lane Changing Rooms - Annual                                                                                                                                                                                                                                                                ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,55,5627,Public Halls                                                                                                                                                                                            ,Sidmouth - Manor Pavilion Theatre - Annual TM                                                                                                                                                                                                                                                               ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,15,5627,Corporate Buildings                                                                                                                                                                                     ,Sidmouth - Manstone Depot - Annual TMV Servic                                                                                                                                                                                                                                                               ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,609,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Sidmouth Sports Centre - Annual TMV Service                                                                                                                                                                                                                                                                 ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,295,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Sidmouth Swimming Pool - Annual TMV Service                                                                                                                                                                                                                                                                 ,
Devon County Council                                                                      ,P020211   ,2020-04-08,2020-04-09,103012,31212,31212,Financial Services                                                                                                                                                                                      ,DCC Procurement Support  for year ending 31.0                                                                                                                                                                                                                                                               ,
Jonathan Purt Revenues & Benefits Consultants                                             ,P020210   ,2020-04-08,2020-04-15,77180,32718,32718,Hsg And Council Tax Admin                                                                                                                                                                               ,Annual invoice for Mr Jonathan Purt 2020/21                                                                                                                                                                                                                                                                 ,
Grainge Architects Ltd                                                                    ,P020207   ,2020-04-08,2020-04-15,438051,5600,5600,Development Managment                                                                                                                                                                                   ,Architectural work for Cranbrook Centre                                                                                                                                                                                                                                                                     ,
Echelon Consultancy Ltd                                                                   ,P020200   ,2020-04-07,2020-04-09,339800,8160,8160,Supervision And Mgt General                                                                                                                                                                             ,Echelon iinvoice - post mobilisation  invoice                                                                                                                                                                                                                                                               ,
Devon County Council Pension Fund                                                         ,P020199   ,2020-04-07,2020-04-14,353051,1551119,1551119,Corporate Activities                                                                                                                                                                                    ,Advance secondary contributions - Devon Penis                                                                                                                                                                                                                                                               ,
South West Councils                                                                       ,P020189   ,2020-04-06,2020-04-13,270101,7045,7045,Public Accountability                                                                                                                                                                                   ,South West Council Annual Subscription 20/21                                                                                                                                                                                                                                                                ,
Learning Nexus Ltd                                                                        ,P020187   ,2020-04-06,2020-04-13,801494,7200,7200,Org Development Services                                                                                                                                                                                ,Renewal of E-Learning licences - EDDC                                                                                                                                                                                                                                                                       ,
South West Water Business                                                                 ,P020165   ,2020-04-03,2020-04-10,102181,8000,8000,Public Conveniences                                                                                                                                                                                     ,1784445301 BS East End Toilet and Cafe                                                                                                                                                                                                                                                                      ,
South West Water Business                                                                 ,P020164   ,2020-04-03,2020-04-10,102181,13568,13568,Public Conveniences                                                                                                                                                                                     ,1812517201 Beer Fore St Toilets                                                                                                                                                                                                                                                                             ,
South West Water Business                                                                 ,P020160   ,2020-04-03,2020-04-10,102181,5500,5500,Public Conveniences                                                                                                                                                                                     ,1797241201 Sidmouth Market Toilets                                                                                                                                                                                                                                                                          ,
South West Water Business                                                                 ,P020158   ,2020-04-03,2020-04-10,102181,6000,6000,Public Conveniences                                                                                                                                                                                     ,17677013                                                                                                                                                                                                                                                                                                    ,
South West Water Business                                                                 ,P020157   ,2020-04-03,2020-04-10,102181,9000,9000,Public Conveniences                                                                                                                                                                                     ,17676134                                                                                                                                                                                                                                                                                                    ,
South West Water Business                                                                 ,P020147   ,2020-04-03,2020-04-10,102181,14337,14337,Public Conveniences                                                                                                                                                                                     ,17633540                                                                                                                                                                                                                                                                                                    ,
South West Water Business                                                                 ,P020144   ,2020-04-03,2020-04-10,102181,7000,7000,Public Conveniences                                                                                                                                                                                     ,17649872                                                                                                                                                                                                                                                                                                    ,
South West Water Business                                                                 ,P020142   ,2020-04-03,2020-04-10,102181,7000,7000,Public Conveniences                                                                                                                                                                                     ,17789894                                                                                                                                                                                                                                                                                                    ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,448,10265,Sports Grounds                                                                                                                                                                                          ,Allhallows CR - Mthly Legionella Monitoring 2                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,532,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Axm LC - Mthly Legionella Monitoring 20/21                                                                                                                                                                                                                                                                  ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,490,10265,Corporate Buildings                                                                                                                                                                                     ,BDH - Mthly Legionella Monitoring 20/21                                                                                                                                                                                                                                                                     ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,504,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Broadclyst LC - Mthly Legionella Monitoring 2                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,289,10265,Corporate Buildings                                                                                                                                                                                     ,Camperdown Depot - Mthly Legionella Monitorin                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,448,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Coly LC - Mthly Legionella Monitoring 20/21                                                                                                                                                                                                                                                                 ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,289,10265,Public Conveniences                                                                                                                                                                                     ,East End PC - Monthly Legionella Monitoring 2                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,343,10265,Corporate Buildings                                                                                                                                                                                     ,EDBC - Mthly Legionella Monitoring 20/21                                                                                                                                                                                                                                                                    ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,448,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Exm LC & pool - Mthly Legionella Monitoring 2                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,453,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Pav - Mthly Legionella Monitoring 20/                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,252,10265,Corporate Buildings                                                                                                                                                                                     ,Exmouth TH - Mthly Legionella Monitoring 20/2                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,448,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Exm TC - Mthly Legionella Monitoring 20/21                                                                                                                                                                                                                                                                  ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,252,10265,Beaches & Foreshores                                                                                                                                                                                    ,Foxholes Chalets - Mthly Legionella Monitorin                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,553,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Honiton LC - Mthly Legionella Monitoring 20/2                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,721,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Honiton Pool - Mthly  Legionella Monitoring 2                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,252,10265,Public Halls                                                                                                                                                                                            ,Manor Pav - Mthly Legionella Monitoring 20/21                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,252,10265,Corporate Buildings                                                                                                                                                                                     ,Manstone Depot - Mthly Legionella Monitoring                                                                                                                                                                                                                                                                ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,45,10265,Public Conveniences                                                                                                                                                                                     ,Orcombe PC - Yrly Flush, clean & disinfection                                                                                                                                                                                                                                                               
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,448,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Ottery LC - Mthly Legionella Monitoring 20/21                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,70,10265,Beach Properties                                                                                                                                                                                        ,Phear Par Cafe-Yrly Flush, clean & disinfecti                                                                                                                                                                                                                                                               
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,280,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Phear Park Bowling Club - Mthly Legionella Mo                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,70,10265,Beach Properties                                                                                                                                                                                        ,Seafield Cafe-Yrly Flush, clean & disinfectio                                                                                                                                                                                                                                                               
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,448,10265,Sports Grounds                                                                                                                                                                                          ,Sidford CR - Mthly Legionella Monitoring 20/2                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,448,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Sidmouth LC - Mthly Legionella Monitoring 20/                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,448,10265,Sports Centres And Swim Pools                                                                                                                                                                           ,Sidmouth Pool - Mthly Legionella Monitoring 2                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,45,10265,Public Conveniences                                                                                                                                                                                     ,The Maer PC - Yrly Flush, clean & disinfectio                                                                                                                                                                                                                                                               
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,252,10265,Arts Development                                                                                                                                                                                        ,THG - Mthly Legionella Monitoring 20/21                                                                                                                                                                                                                                                                     ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,289,10265,Public Conveniences                                                                                                                                                                                     ,West Walk PC - Mthly Legionella Monitoring 20                                                                                                                                                                                                                                                               ,
Integrated Water Services Ltd                                                             ,P020136   ,2020-04-03,2021-03-31,445717,448,10265,Sports Grounds                                                                                                                                                                                          ,Withy Common CR - Mthly Legionella Monitoring                                                                                                                                                                                                                                                               ,
South West Water Business                                                                 ,P020135   ,2020-04-02,2021-03-31,102181,5000,5000,Public Conveniences                                                                                                                                                                                     ,18011938                                                                                                                                                                                                                                                                                                    ,
South West Water Business                                                                 ,P020133   ,2020-04-02,2021-03-31,102181,15121,15121,Public Conveniences                                                                                                                                                                                     ,17950300                                                                                                                                                                                                                                                                                                    ,
South West Water Business                                                                 ,P020129   ,2020-04-02,2021-03-31,102181,5900,5900,Public Conveniences                                                                                                                                                                                     ,18173525                                                                                                                                                                                                                                                                                                    ,
Young Devon                                                                               ,P020126   ,2020-04-02,2020-04-09,691511,11440,11440,Homeless                                                                                                                                                                                                ,In connection with our agreement for period A                                                                                                                                                                                                                                                               ,
South West Water Business                                                                 ,P020121   ,2020-04-02,2021-03-31,102181,7000,7000,Public Conveniences                                                                                                                                                                                     ,18229286                                                                                                                                                                                                                                                                                                    ,
South West Audit Partnership Ltd                                                          ,P020113   ,2020-04-02,2020-04-03,462372,120168,120168,Financial Services                                                                                                                                                                                      ,SWAP Internal Audit Services for year ending                                                                                                                                                                                                                                                                ,
Strata Service Solutions Ltd                                                              ,P020108   ,2020-04-02,2020-04-09,265114,55038,2541842,Capital Ict Infra And Projects                                                                                                                                                                          ,ANNUAL CAPITAL CONTRIBUTION 20/21                                                                                                                                                                                                                                                                           ,
Strata Service Solutions Ltd                                                              ,P020108   ,2020-04-02,2020-04-09,265114,613917,2541842,Ict Services                                                                                                                                                                                            ,QTR1 PROVISION OF IT SERVICES 20/21                                                                                                                                                                                                                                                                         ,
Strata Service Solutions Ltd                                                              ,P020108   ,2020-04-02,2020-04-09,265114,613917,2541842,Ict Services                                                                                                                                                                                            ,QTR2PROVISION OF IT SERVICES 20/21                                                                                                                                                                                                                                                                          ,
Strata Service Solutions Ltd                                                              ,P020108   ,2020-04-02,2020-04-09,265114,613917,2541842,Ict Services                                                                                                                                                                                            ,QTR3 PROVISION OF IT SERVICES 20/21                                                                                                                                                                                                                                                                         ,
Strata Service Solutions Ltd                                                              ,P020108   ,2020-04-02,2020-04-09,265114,613917,2541842,Ict Services                                                                                                                                                                                            ,QTR4 PROVISION OF IT SERVICES 20/21                                                                                                                                                                                                                                                                         ,
Strata Service Solutions Ltd                                                              ,P020108   ,2020-04-02,2020-04-09,265114,11136,2541842,Ict Services                                                                                                                                                                                            ,SUPPLY OF OOH SERVICES 20/21                                                                                                                                                                                                                                                                                ,
Strata Service Solutions Ltd                                                              ,P020108   ,2020-04-02,2020-04-09,265114,20000,2541842,Ict Services                                                                                                                                                                                            ,SUPPORT SERVICES CONTRIBUTION 20/21                                                                                                                                                                                                                                                                         ,
Stephen J Pratten                                                                         ,P020101   ,2020-04-01,2020-04-08,14602,6018,6018,Capital Corp Build And Securty                                                                                                                                                                          ,Project Management Services for Relocations                                                                                                                                                                                                                                                                 ,
Devon County Council                                                                      ,NP03626   ,2020-04-30,2020-05-07,103012,6500,6500,Aonb And Countryside                                                                                                                                                                                    ,exe estuary management contribution                                                                                                                                                                                                                                                                         ,
Devon County Council Pension Fund                                                         ,NP03623   ,2020-04-29,2020-05-06,353051,73000,73000,Employer'S Responsibilities                                                                                                                                                                             ,Pension Recharges 2020/2021                                                                                                                                                                                                                                                                                 ,
Devon County Council Pension Fund                                                         ,NP03622   ,2020-04-29,2020-05-06,353051,201420,201420,Corporate Activities                                                                                                                                                                                    ,Pension Strain Payment                                                                                                                                                                                                                                                                                      ,
Tunstall Healthcare Ltd                                                                   ,NP03614   ,2020-04-29,2020-04-30,IF000747  ,6567,6567,Homesafeguard                                                                                                                                                                                           ,Telecare equipment Smarthubs x 33 Inv no 31N                                                                                                                                                                                                                                                                ,
Housemark Ltd                                                                             ,NP03603   ,2020-04-22,2020-04-23,76460500,7553,7553,Best Value Housemark                                                                                                                                                                                    ,Housemark subscription 2020                                                                                                                                                                                                                                                                                 ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03602   ,2020-04-22,2020-04-29,562017,417,14751,Refuse Collection & Recycling                                                                                                                                                                           ,Additional Collections - March 2020                                                                                                                                                                                                                                                                         ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03602   ,2020-04-22,2020-04-29,562017,22,14751,Refuse Collection & Recycling                                                                                                                                                                           ,AHP Collections - March 2020                                                                                                                                                                                                                                                                                ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03602   ,2020-04-22,2020-04-29,562017,2669,14751,Refuse Collection & Recycling                                                                                                                                                                           ,Assisted Refuse Collections - March 2020                                                                                                                                                                                                                                                                    ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03602   ,2020-04-22,2020-04-29,562017,6359,14751,Refuse Collection & Recycling                                                                                                                                                                           ,Contract Variations - Assisted Recycling Coll                                                                                                                                                                                                                                                               ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03602   ,2020-04-22,2020-04-29,562017,683,14751,Refuse Collection & Recycling                                                                                                                                                                           ,Dog Bin Collections - March 2020                                                                                                                                                                                                                                                                            ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03602   ,2020-04-22,2020-04-29,562017,3332,14751,Refuse Collection & Recycling                                                                                                                                                                           ,Schedule 2 Recycling Collections - March 2020                                                                                                                                                                                                                                                               ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03602   ,2020-04-22,2020-04-29,562017,1265,14751,Refuse Collection & Recycling                                                                                                                                                                           ,Schedule 2 Refuse Collections - March 2020                                                                                                                                                                                                                                                                  ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03601   ,2020-04-22,2020-04-28,562017,1065,21221,Refuse Collection & Recycling                                                                                                                                                                           ,Bin Deliveries March 2020                                                                                                                                                                                                                                                                                   ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03601   ,2020-04-22,2020-04-28,562017,9763,21221,Refuse Collection & Recycling                                                                                                                                                                           ,Operating Costs Labour March 2020                                                                                                                                                                                                                                                                           ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03601   ,2020-04-22,2020-04-28,562017,10393,21221,Refuse Collection & Recycling                                                                                                                                                                           ,Vehicles March 2020                                                                                                                                                                                                                                                                                         ,
Exmouth Holiday Homes                                                                     ,NP03561   ,2020-04-07,2020-04-10,243264,74000,74000,Homeless                                                                                                                                                                                                ,Temporary Accommodation                                                                                                                                                                                                                                                                                     ,
The Dolphin Hotel Exmouth                                                                 ,NP03560   ,2020-04-07,2020-04-10,345156,20000,20000,Homeless                                                                                                                                                                                                ,Temporary Accommodation                                                                                                                                                                                                                                                                                     ,
Exmouth Property Services                                                                 ,NP03559   ,2020-04-07,2020-04-10,385639,15000,15000,Homeless                                                                                                                                                                                                ,Temporary Accommodation                                                                                                                                                                                                                                                                                     ,
Bluewater B&B                                                                             ,NP03558   ,2020-04-07,2020-04-10,947512,17000,17000,Homeless                                                                                                                                                                                                ,Temporary Accommodation                                                                                                                                                                                                                                                                                     ,
Rohaven                                                                                   ,NP03557   ,2020-04-07,2020-04-10,272368,113000,113000,Homeless                                                                                                                                                                                                ,Temporary Accommodation                                                                                                                                                                                                                                                                                     ,
Castle Brake Holiday Park                                                                 ,NP03542   ,2020-04-03,2020-04-10,232431,5000,5000,Homeless                                                                                                                                                                                                ,Temporary Accommodation                                                                                                                                                                                                                                                                                     ,
Ladram Bay Holiday Park                                                                   ,NP03541   ,2020-04-03,2020-04-10,586897,20000,20000,Homeless                                                                                                                                                                                                ,Temporary Accommodation                                                                                                                                                                                                                                                                                     ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03540   ,2020-04-03,2020-04-10,562017,100520,3851077,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter & Dog Bins - Dog Bins                                                                                                                                                                                                                                                                       ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03540   ,2020-04-03,2020-04-10,562017,8741,3851077,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter & Dog Bins - Litter bins                                                                                                                                                                                                                                                                    ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03540   ,2020-04-03,2020-04-10,562017,36953,3851077,Refuse Collection & Recycling                                                                                                                                                                           ,Monthly Base Payment - Bulky Waste Collection                                                                                                                                                                                                                                                               ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03540   ,2020-04-03,2020-04-10,562017,36192,3851077,Refuse Collection & Recycling                                                                                                                                                                           ,Monthly Base Payment - Collections of Clinica                                                                                                                                                                                                                                                               ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03540   ,2020-04-03,2020-04-10,562017,57906,3851077,Refuse Collection & Recycling                                                                                                                                                                           ,Monthly Base Payment - Emptying Recycling Ban                                                                                                                                                                                                                                                               ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03540   ,2020-04-03,2020-04-10,562017,2928568,3851077,Refuse Collection & Recycling                                                                                                                                                                           ,Monthly base payment - Recycling & Food Colle                                                                                                                                                                                                                                                               ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03540   ,2020-04-03,2020-04-10,562017,641219,3851077,Refuse Collection & Recycling                                                                                                                                                                           ,Monthly Base Payment - Refuse Collection                                                                                                                                                                                                                                                                    ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03540   ,2020-04-03,2020-04-10,562017,24586,3851077,Refuse Collection & Recycling                                                                                                                                                                           ,Storage and delivery of recycling containers                                                                                                                                                                                                                                                                ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03540   ,2020-04-03,2020-04-10,562017,12292,3851077,Refuse Collection & Recycling                                                                                                                                                                           ,Storage and Delivery of recycling containers                                                                                                                                                                                                                                                                ,
Suez Recycling & Recovery Uk Limited                                                      ,NP03540   ,2020-04-03,2020-04-10,562017,4097,3851077,Refuse Collection & Recycling                                                                                                                                                                           ,Storage and Delivery of recycling containers                                                                                                                                                                                                                                                                ,
