Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,209,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter & Dog Bins - Dog Bins                                                                                                                                                                                                                                                                       
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,18,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter & Dog Bins - Litter Bins                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,120,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Recycling Banks - Wheeled Bins                                                                                                                                                                                                                                                                     
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,6091,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Recycling & Food Collection Service                                                                                                                                                                                                                                                                         
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,1333,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Refuse Collection                                                                                                                                                                                                                                                                                           
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,53,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Schedule 2 Recycling                                                                                                                                                                                                                                                                                        
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,20,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Schedule 2 Refuse                                                                                                                                                                                                                                                                                           
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,51,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Storage & Delivery of Recycling Containers -                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,25,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Storage & Delivery of Recycling Containers -                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,8,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Storage & Delivery of Recycling Containers -                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,15,8358,Refuse Collection & Recycling                                                                                                                                                                           ,WEEE Waste Transport                                                                                                                                                                                                                                                                                        
Hyas Associates Ltd                                                                       ,NP01409   ,2018-08-10,2018-08-17,887330    ,12218,12218,Development Managment                                                                                                                                                                                   ,Hyas Works                                                                                                                                                                                                                                                                                                  
Suez Recycling & Recovery Uk Limited                                                      ,NP01375   ,2018-08-01,2018-08-08,562017    ,3079,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Bulky Waste Collections                                                                                                                                                                                                                                                                                     
Suez Recycling & Recovery Uk Limited                                                      ,NP01375   ,2018-08-01,2018-08-08,562017    ,3016,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Collections of Clinical Waste                                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01375   ,2018-08-01,2018-08-08,562017    ,8376,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter & Dog Bins - Dog Bins                                                                                                                                                                                                                                                                       
Suez Recycling & Recovery Uk Limited                                                      ,NP01375   ,2018-08-01,2018-08-08,562017    ,728,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter & Dog Bins - Litter Bins                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01375   ,2018-08-01,2018-08-08,562017    ,4825,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Recycling Banks - Wheeled Bins                                                                                                                                                                                                                                                                     
Suez Recycling & Recovery Uk Limited                                                      ,NP01375   ,2018-08-01,2018-08-08,562017    ,244047,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Recycling & Food Collection Service                                                                                                                                                                                                                                                                         
Suez Recycling & Recovery Uk Limited                                                      ,NP01375   ,2018-08-01,2018-08-08,562017    ,53434,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Refuse Collection                                                                                                                                                                                                                                                                                           
Suez Recycling & Recovery Uk Limited                                                      ,NP01375   ,2018-08-01,2018-08-08,562017    ,2048,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Storage & Delivery of Recycling Containers -                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01375   ,2018-08-01,2018-08-08,562017    ,1024,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Storage & Delivery of Recycling Containers -                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01375   ,2018-08-01,2018-08-08,562017    ,341,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Storage & Delivery of Recycling Containers -                                                                                                                                                                                                                                                                
