April 2015 - Consolidated Transaction Spend,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Code,Cost Centre,Transaction No,Total Gross Value,Description,Supplier Postcode,Supplier Type,Expenditure Type,Document
Department of Education,OFSTED,07/04/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,T001471,531,814925,"£311,860.79",Inspection Service Provider,RG1 4BS,TS,Programme Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,103C,814751,"£56,176.00",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,07/04/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,534A,814903,"£62,467.50",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,10/04/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,518O,815007,"£33,300.00",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,24/04/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,155,815148,"£53,447.54",ICT Support,RG2 6UA,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,29/04/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,122,815198,"£268,461.71",ICT Support,RG2 6UA,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,29/04/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,122,815199,"£69,050.15",ICT Support,RG2 6UA,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,Corporate Transactions,Corporate Transactions,Company Barclaycard,T001232,122,82,"£67,440.12",Corporate Purchasing Card,TS17 6YG,LE,Admin Class,PINCARD
Department of Education,OFSTED,21/04/2015,Managed Services,Information Services,Computacenter (Uk) Ltd.,T001630,518S,815111,"£135,181.20",IS Equipment,AL10 9TW,,Programme Class,IMPINMAN
Department of Education,OFSTED,23/04/2015,Managed Services,Information Services,Computacenter (Uk) Ltd.,T001630,534A,815142,"£55,941.84",IS Equipment,AL10 9TW,,Admin Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,T005820,155,814824,"£67,822.69",Vehicle Hire,TW20 9JY,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,Accommodation Service Charge,Property Division,Food Standards Agency,T005709,104,814825,"£260,415.64",Accomodation Rent and Service Charge,YO1 7PX,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,08/04/2015,ICT Commodities,Information Services,Huddle (Ninian Solutions Ltd),T007503,122,814941,"£51,480.00",Software Licences,E1 8EP,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,27/04/2015,Accommodation Service Charge,Property Division,Nottingham City Council,T002690,533,815166,"£152,830.00",Accomodation Rent and Service Charge,NG1 2DE,,Programme Class,IMPINMAN
Department of Education,OFSTED,09/04/2015,Professional Services Other,HR Organisational Development,Penna Plc,T002809,526,814933,"£54,397.01",Recruitment,EC4M7RD,,Programme Class,IMPINMAN
Department of Education,OFSTED,07/04/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,T002893,544,814924,"£984,560.00",Inspection Service Provider,BR1 1LT,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,Travel,Corporate Transactions,Redfern Travel Ltd,T007381,155,814823,"£400,333.00",Travel and Overnight Accommodation,BD1 3AZ,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,28/04/2015,Contracted Inspection Costs,Inspection Costs,Serco Limited,T005853,538,159967,"£620,983.50",Inspection Service Provider,RG27 7FR,LE,Programme Class,PINMAN
Department of Education,OFSTED,01/04/2015,Managed Services,Information Services,Specialist Computer Centres,T003139,518S,814820,"£49,392.00",IS Equipment,B11 2LE,,Admin Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,Information Services,Information Services,Viglen Ltd,T007890,518R,814798,"£123,981.00",IS Development,AL2 2DQ,SME,Programme Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,Fleet,Finance and Resources,Willis Limited,T006937,103,814822,"£38,160.00",Hire Car Insurance,BS8 1BQ,,Admin Class,IMPINMAN
