March 2015 - Consolidated Transaction Spend,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Code,Cost Centre,Transaction No,Total Gross Value,Description,Supplier Postcode,Supplier Type,Expenditure Type,Document
Department of Education,OFSTED,26/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,518R,814653,"£31,314.00",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,26/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,122,814654,"£25,171.67",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,26/03/2015,IS Licences,Information Services,Cherwell Software Ltd,T008614,518U,814645,"£37,032.00",IS Licences,SN5 7XZ,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,02/03/2015,Corporate Transactions,Corporate Transactions,Company Barclaycard,T001232,724,81,"£56,241.88",Corporate Purchasing Card,TS17 6YG,LE,Programme Class,PINCARD
Department of Education,OFSTED,04/03/2015,Accommodation Service Charge,Finance and Resources,Dept for Communities & Local Govt,T007172,534A,814234,"£127,320.00",Accommodation Service Charge,HP2 4XN,,Admin Class,IMPINMAN
Department of Education,OFSTED,02/03/2015,Legal,Performance & Projects,DLA Piper UK LLP,T005422,103C,814200,"£26,855.40",Commercial Legal Support,EC2V 7EE,,Admin Class,IMPINMAN
Department of Education,OFSTED,27/03/2015,Legal,Performance & Projects,DLA Piper UK LLP,T005422,103C,814666,"£26,042.10",Commercial Legal Support,EC2V 7EE,,Admin Class,IMPINMAN
Department of Education,OFSTED,19/03/2015,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,T005820,155,814490,"£46,331.62",Vehicle Hire,TW20 9JY,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,30/03/2015,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,T002830,533,814677,"£50,464.71",Accomodation Rent and Service Charge,RH4 1QP,,Programme Class,IMPINMAN
Department of Education,OFSTED,27/03/2015,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,T002830,533,814676,"£50,405.78",Accomodation Rent and Service Charge,RH4 1QP,,Programme Class,IMPINMAN
Department of Education,OFSTED,27/03/2015,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,T002830,533,814679,"£48,840.68",Accomodation Rent and Service Charge,RH4 1QP,,Programme Class,IMPINMAN
Department of Education,OFSTED,27/03/2015,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,T002830,533,814675,"£38,519.25",Accomodation Rent and Service Charge,RH4 1QP,,Programme Class,IMPINMAN
Department of Education,OFSTED,27/03/2015,ICT Commodities,Information Services,FlyingBinary Ltd,T007330,518T,814715,"£25,380.00",ICT Support,IG8 7LS,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,16/03/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,T003778,534,814437,"£105,634.55",Accomodation Rent and Service Charge,B1 2JJ,,Admin Class,IMPINMAN
Department of Education,OFSTED,16/03/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,T003778,534,814436,"£105,117.97",Accomodation Rent and Service Charge,B1 2JJ,,Admin Class,IMPINMAN
Department of Education,OFSTED,03/03/2015,Managed Services,"Applications, Regulatory and Contact",Health Management (UK) Ltd,T006211,351,814224,"£33,502.76",Medical Screening,BN8 5NN,SME,Programme Class,IMPINMAN
Department of Education,OFSTED,04/03/2015,ICT Commodities,Information Services,IBM United Kingdom Ltd,T006576,122,814238,"£27,927.90",Software Licences,PO6 3AE,,Admin Class,IMPINMAN
Department of Education,OFSTED,16/03/2015,IS Licences,Early Childhood Development,Lipfriend Rodd,T007058,498,814435,"£25,000.00",Software Licences,NW5 1LP,,Programme Class,IMPINMAN
Department of Education,OFSTED,27/03/2015,Accommodation Non-Domestic Rates,Property Division,London Borough of Camden,T005494,104,814659,"£395,010.00",Accommodation Non-Domestic Rates,WC1H 9JE,,Admin Class,IMPINMAN
Department of Education,OFSTED,16/03/2015,Accommodation Services,Property Division,Manchester City Council,T002470,534,814440,"£165,155.00",Accommodation Rates,M15 5TU,,Programme Class,IMPINMAN
Department of Education,OFSTED,23/03/2015,Managed Services,Finance and Resources,Premiere Employment Group Ltd,T006766,351,814557,"£39,853.85",Contingent Labour,M2 6DN,,Programme Class,IMPINMAN
Department of Education,OFSTED,05/03/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,T002893,544,814273,"£984,560.00",Inspection Service Provider,BR1 1LT,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,10/03/2015,Travel,Corporate Transactions,Redfern Travel Ltd,T007381,155,814346,"£358,400.53",Travel and Overnight Accommodation,BD1 3AZ,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,23/03/2015,IS Licences,Finance and Resources,Reed Business Information Ltd,T002977,417,814565,"£33,263.52",ICT Support,SM2 5AS,,Programme Class,IMPINMAN
Department of Education,OFSTED,27/03/2015,Managed Services,Inspection Data & Insight,RM Education,T004596,409B,814700,"£33,307.64",ICT Support,OX14 4SB,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,16/03/2015,Contracted Inspection Costs,Inspection Costs,Serco Limited,T005853,538,814438,"£585,328.18",Inspection Service Provider,RG27 7FR,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,16/03/2015,Contracted Inspection Costs,Inspection Costs,Serco Limited,T005853,538,702319,"-£508,325.73",Inspection Service Provider,RG27 7FR,LE,Programme Class,PCRMAN
Department of Education,OFSTED,16/03/2015,Managed Services,Information Services,Specialist Computer Centres,T003139,518S,814407,"£617,400.00",IS Equipment,B11 2LE,,Admin Class,IMPINMAN
Department of Education,OFSTED,04/03/2015,Managed Services,Information Services,Specialist Computer Centres,T003139,518S,814235,"£132,300.00",IS Equipment,B11 2LE,,Admin Class,IMPINMAN
Department of Education,OFSTED,16/03/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,T002876,545,814425,"£2,819,845.66",Inspection Service Provider,S2 4AN,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,16/03/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,T002876,536,159900,"£2,602,544.96",Inspection Service Provider,S2 4AN,LE,Programme Class,PINMAN
Department of Education,OFSTED,42079,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,T002876,536,814426,"£1,018,200.22",Inspection Service Provider,S2 4AN,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,42079,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,T002876,536,702318,"-£354,907.81",Inspection Service Provider,S2 4AN,LE,Programme Class,PCRMAN
Department of Education,OFSTED,42089,Managed Services,Information Services,UNIT 4 Business Software Ltd CODA Di,T001506,122,814618,"£47,685.66",Software Licences,BS20 0PX,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,42068,ICT Systems,Information Services,Viglen Ltd,T007890,518G,814295,"£63,252.73",IS Development,AL2 2DQ,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,42090,ICT Systems,Information Services,Viglen Ltd,T007890,103C,814703,"£47,702.40",IS Development,AL2 2DQ,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,42093,ICT Systems,Information Services,Viglen Ltd,T007890,518R,814734,"£42,260.00",IS Development,AL2 2DQ,SME,Programme Class,IMPINMAN
Department of Education,OFSTED,42090,Accommodation Service Charge,Finance and Resources,Workman LLP,T008281,107,814480,"£163,588.20",Accomodation Rent and Service Charge,EC2v 6EE,SME,Admin Class,IMPINMAN
