Department,Entity,Date,Expense area ,Expense Area,Supplier,Transaction No,Procurement,Description
Department of Education,OFSTED,26/03/2018,Managed Services,Information services,CGI IT UK Ltd,826839,"£53,000.00",ICT Support
Department of Education,OFSTED,09/03/2018,Accommodation Service Charge,Property Division,Food Standards Agency,826908,"£54,882.32",Accommodation Rent and Service Charge
Department of Education,OFSTED,26/03/2018,Managed Services,Information services,CGI IT UK Ltd,826846,"£46,060.70",ICT Support
Department of Education,OFSTED,27/03/2018,Managed Services,Information Services,Bytes Software Services Ltd,827081,"£55,962.00",ICT Support
Department of Education,OFSTED,26/03/2018,Managed Services,Finance and Resources,UNIT 4 Business Software Ltd CODA Di,826734,"£57,353.84",ICT Support
Department of Education,OFSTED,27/03/2018,Managed Services,Information Services,Inframon Ltd,827027,"£50,000.00",ICT Support
Department of Education,OFSTED,26/03/2018,Managed Services,Information Services,CACI Ltd,826829,"£53,250.00",ICT Support
Department of Education,OFSTED,27/03/2018,Corporate Transactions,Finance and Resources,Vodafone Corporate Ltd,827176,"£72,616.00",Mobile Telephony
Department of Education,OFSTED,27/03/2018,Managed Services,Information Services,Informed Solutions Ltd,827118,"£80,850.00",Digital Communications
Department of Education,OFSTED,26/03/2018,Managed Services,Information services,CGI IT UK Ltd,826859,"£67,556.59",ICT Support
Department of Education,OFSTED,07/03/2018,Information Services,Operational Improvement & Projects,Rainmaker Solutions Limited,826848,"£70,615.34",ICT Support
Department of Education,OFSTED,27/03/2018,Information Services,Operational Improvement & Projects,Rainmaker Solutions Limited,826963,"£80,400.00",ICT Support
Department of Education,OFSTED,29/03/2018,Professional Services,Finance and Resources,Deloitte & Touche LLP,827293,"£97,800.00",Professional Services
Department of Education,OFSTED,19/03/2018,Accommodation Service Charge,Finance and Resources,Gva Grimley,827049,"£123,926.13",Accommdation Rent and Service Charge
Department of Education,OFSTED,19/03/2018,Accommodation Service Charge,Finance and Resources,Gva Grimley,827048,"£124,462.00",Accommdation Rent and Service Charge
Department of Education,OFSTED,29/03/2018,Managed Services,Information Services,Specialist Computer Centres,827299,"£131,422.03",ICT Support
Department of Education,OFSTED,29/03/2018,Managed Services,Information Services,CACI Ltd,827250,"£131,900.00",ICT Support
Department of Education,OFSTED,07/03/2018,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,826876,"£385,251.37",Travel and Overnight Accommodation
Department of Education,OFSTED,29/03/2018,Managed Services,Information services,Specialist Computer Centres,827312,"£989,251.58",ICT Support
Department of Education,OFSTED,27/03/2018,Staff and Training,People Group,Cabinet Office Votes,827033,"£198,114.96",Staffing and Training Costs
Department of Education,OFSTED,27/03/2018,Staff Learning and Development,"Quality, Complaints and Training",Etc Venues Ltd,827217,"£26,427.00",Training
,,,,,,,"£3,637,452.94",
