Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,24.02.2020,16.03.2020,2.40
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,24.02.2020,16.03.2020,27.19
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,14.02.2020,16.03.2020,3.45
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,13.02.2020,16.03.2020,13.27
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,12.02.2020,16.03.2020,21.86
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,11.02.2020,16.03.2020,14.39
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,10.02.2020,16.03.2020,24.93
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,07.02.2020,16.03.2020,10.94
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,06.02.2020,16.03.2020,23.09
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,05.02.2020,16.03.2020,12.19
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,04.02.2020,16.03.2020,12.22
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,03.02.2020,16.03.2020,22.93
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,03.02.2020,16.03.2020,2.40
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,31.01.2020,16.03.2020,8.96
Stockport MBC,Corporate and Support Services,Central Services to the public,ADVERTISING SERVICES,Waste Management Equipment,Environmental Services Waste Management Toxic & Hazardous Waste,31.01.2020,16.03.2020,88.80
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Care Payments,Social Community Care Supplies & Services  ,26.02.2020,16.03.2020,126.85
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Care Payments,Social Community Care Supplies & Services  ,24.02.2020,16.03.2020,50.00
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Care Payments,Social Community Care Supplies & Services  ,24.02.2020,16.03.2020,-50.00
Stockport MBC,Services to People,Childrens & Educational Services,DISCOUNT STORES,Furniture and Equipment,Environmental Services Technical Equipment ,19.02.2020,16.03.2020,198.00
Stockport MBC,Services to People,Childrens & Educational Services,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,Staff Training,Human Resources  ,17.02.2020,16.03.2020,-129.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,TO BE ADDED,17.02.2020,16.03.2020,35.15
Stockport MBC,Services to People,Childrens & Educational Services,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,Staff Training,Human Resources  ,10.02.2020,16.03.2020,129.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,10.02.2020,16.03.2020,17.95
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,10.02.2020,16.03.2020,48.40
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,10.02.2020,16.03.2020,17.95
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Furniture and Equipment,Environmental Services Technical Equipment ,04.02.2020,16.03.2020,29.99
Stockport MBC,Services to People,Childrens & Educational Services,DIGITAL GOODS SOFTWARE APPLICATIONS,Library Equipment,Education Library Books ,01.03.2020,16.03.2020,35.99
Stockport MBC,Services to People,Childrens & Educational Services,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,01.03.2020,16.03.2020,9.50
Stockport MBC,Services to People,Childrens & Educational Services,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,29.02.2020,16.03.2020,9.50
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS PUBLISHING AND PRINTING,Publicity and Promotion,Arts & Leisure Services  ,28.02.2020,16.03.2020,35.10
Stockport MBC,Services to People,Childrens & Educational Services,"MUSIC STORES-INSTRUMENTS, PIANOS, SHEET MUSIC",Library Equipment,Education Library Books ,13.02.2020,16.03.2020,71.34
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,13.02.2020,16.03.2020,185.50
Stockport MBC,Services to People,Childrens & Educational Services,HILTON,Expenses and Allowances,Human Resources Travel & Subsistence ,13.02.2020,16.03.2020,290.70
Stockport MBC,Services to People,Childrens & Educational Services,HILTON,Expenses and Allowances,Human Resources Travel & Subsistence ,13.02.2020,16.03.2020,290.70
Stockport MBC,Services to People,Childrens & Educational Services,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",Printing and Photocopying,Facilities & Management Services Printing ,13.02.2020,16.03.2020,144.00
Stockport MBC,Services to People,Childrens & Educational Services,"MUSIC STORES-INSTRUMENTS, PIANOS, SHEET MUSIC",Library Equipment,Education Library Books ,11.02.2020,16.03.2020,69.32
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS PUBLISHING AND PRINTING,Library Equipment,Education Library Books ,03.02.2020,16.03.2020,53.98
Stockport MBC,Services to People,Childrens & Educational Services,COMPUTER SOFTWARE STORES,Office Expenses,Arts & Leisure Services  ,01.03.2020,16.03.2020,70.80
Stockport MBC,Services to People,Childrens & Educational Services,ADVERTISING SERVICES,Office Expenses,Arts & Leisure Services  ,29.02.2020,16.03.2020,307.07
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,28.02.2020,16.03.2020,401.50
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,26.02.2020,16.03.2020,71.10
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2020,16.03.2020,142.30
Stockport MBC,Services to People,Childrens & Educational Services,ADVERTISING SERVICES,Office Expenses,Facilities & Management Services  ,20.02.2020,16.03.2020,500.00
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Publicity and Promotion,Arts & Leisure Services  ,20.02.2020,16.03.2020,2.95
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,19.02.2020,16.03.2020,453.60
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,19.02.2020,16.03.2020,11.75
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Publicity and Promotion,Arts & Leisure Services  ,19.02.2020,16.03.2020,16.97
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,19.02.2020,16.03.2020,6.35
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Publicity and Promotion,Arts & Leisure Services  ,18.02.2020,16.03.2020,75.60
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Staff Training,Human Resources  ,18.02.2020,16.03.2020,315.04
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Publicity and Promotion,Arts & Leisure Services  ,18.02.2020,16.03.2020,32.46
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Publicity and Promotion,Arts & Leisure Services  ,17.02.2020,16.03.2020,7.91
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Publicity and Promotion,Arts & Leisure Services  ,17.02.2020,16.03.2020,70.26
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Publicity and Promotion,Arts & Leisure Services  ,15.02.2020,16.03.2020,1.49
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Publicity and Promotion,Arts & Leisure Services  ,16.02.2020,16.03.2020,23.97
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN,Staff Training,Human Resources  ,05.02.2020,16.03.2020,86.50
Stockport MBC,Services to People,Childrens & Educational Services,ADVERTISING SERVICES,Office Expenses,Facilities & Management Services  ,06.02.2020,16.03.2020,500.00
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Publicity and Promotion,Arts & Leisure Services  ,06.02.2020,16.03.2020,21.15
Stockport MBC,Services to People,Childrens & Educational Services,COMPUTER SOFTWARE STORES,Office Expenses,Facilities & Management Services  ,01.02.2020,16.03.2020,70.80
Stockport MBC,Services to People,Childrens & Educational Services,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,14.02.2020,16.03.2020,20.20
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,13.02.2020,16.03.2020,10.10
Stockport MBC,Services to People,Childrens & Educational Services,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,10.02.2020,16.03.2020,7.70
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Catering Supplies,Catering Food & Beverages ,07.02.2020,16.03.2020,15.85
Stockport MBC,Services to People,Childrens & Educational Services,LIMOUSINES AND TAXICABS,Travelling Expenses,Human Resources Travel & Subsistence ,07.02.2020,16.03.2020,11.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,05.02.2020,16.03.2020,82.40
Stockport MBC,Services to Place,Central Support Costs,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,25.02.2020,16.03.2020,6.50
Stockport MBC,Services to Place,Central Support Costs,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,24.02.2020,16.03.2020,6.50
Stockport MBC,Services to Place,Central Support Costs,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,19.02.2020,16.03.2020,19.50
Stockport MBC,Services to Place,Central Support Costs,LIMOUSINES AND TAXICABS,Travelling Expenses,Human Resources Travel & Subsistence ,12.02.2020,16.03.2020,20.00
Stockport MBC,Services to Place,Central Support Costs,"EATING PLACES, RESTAURANTS",Expenses and Allowances,Human Resources Travel & Subsistence ,12.02.2020,16.03.2020,15.13
Stockport MBC,Services to Place,Central Support Costs,LIMOUSINES AND TAXICABS,Travelling Expenses,Human Resources Travel & Subsistence ,12.02.2020,16.03.2020,20.00
Stockport MBC,Services to Place,Central Support Costs,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,04.02.2020,16.03.2020,6.50
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Furniture and Equipment,Furniture & Soft Furnishings  ,27.02.2020,16.03.2020,9.99
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,Furniture and Equipment,Furniture & Soft Furnishings  ,13.02.2020,16.03.2020,7.99
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Office Expenses,Stationery    ,12.02.2020,16.03.2020,4.58
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Staff Training,Human Resources  ,06.02.2020,16.03.2020,450.00
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Office Expenses,Stationery    ,01.02.2020,16.03.2020,21.09
Stockport MBC,Services to People,Childrens & Educational Services,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",Fees and Charges,"Works - Construction, Repair & Maintenance  ",25.02.2020,16.03.2020,154.50
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,26.02.2020,16.03.2020,26.90
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,26.02.2020,16.03.2020,18.88
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,26.02.2020,16.03.2020,29.45
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,05.02.2020,16.03.2020,8.05
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,05.02.2020,16.03.2020,20.10
Stockport MBC,Services to People,Childrens & Educational Services,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",Fees and Charges,Education  ,04.02.2020,16.03.2020,62.50
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,05.02.2020,16.03.2020,70.47
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,04.02.2020,16.03.2020,7.00
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,03.02.2020,16.03.2020,12.58
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,Staff Training,Human Resources  ,25.02.2020,16.03.2020,216.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,Staff Training,Human Resources  ,25.02.2020,16.03.2020,50.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,Furniture and Equipment,Environmental Services Technical Equipment ,21.02.2020,16.03.2020,7.99
Stockport MBC,Corporate and Support Services,Central Support Costs,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,Library Equipment,Education Library Books ,28.02.2020,16.03.2020,65.64
Stockport MBC,Corporate and Support Services,Central Support Costs,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Library Equipment,Education Library Books ,26.02.2020,16.03.2020,85.00
Stockport MBC,Corporate and Support Services,Central Support Costs,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,Legal Fees,Legal Services  ,17.02.2020,16.03.2020,1.50
Stockport MBC,Corporate and Support Services,Central Support Costs,FINES,Legal Fees,Legal Services  ,13.02.2020,16.03.2020,990.00
Stockport MBC,Services to People,Public Health,SPORTING GOODS STORES,Furniture and Equipment,Furniture & Soft Furnishings  ,13.02.2020,16.03.2020,5.99
Stockport MBC,Services to People,Public Health,HARDWARE STORES,Furniture and Equipment,Furniture & Soft Furnishings  ,30.01.2020,16.03.2020,14.70
Stockport MBC,Services to People,Public Health,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Furniture and Equipment,Furniture & Soft Furnishings  ,30.01.2020,16.03.2020,16.99
Stockport MBC,Services to People,Public Health,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Furniture and Equipment,Furniture & Soft Furnishings  ,31.01.2020,16.03.2020,10.48
Stockport MBC,Services to People,Childrens & Educational Services,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),Staff Training,Human Resources  ,25.02.2020,16.03.2020,168.00
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,Office Expenses,Stationery    ,19.02.2020,16.03.2020,7.99
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Office Expenses,Stationery    ,03.02.2020,16.03.2020,11.77
Stockport MBC,Services to People,Childrens & Educational Services,CATERERS,Office Expenses,Stationery    ,03.02.2020,16.03.2020,26.24
Stockport MBC,Services to People,Childrens & Educational Services,CATERERS,Office Expenses,Stationery    ,03.02.2020,16.03.2020,121.60
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Office Expenses,Stationery    ,02.02.2020,16.03.2020,75.90
Stockport MBC,Services to Place,Childrens & Educational Services,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",Staff Training,Human Resources  ,27.02.2020,16.03.2020,20.00
Stockport MBC,Services to Place,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,24.02.2020,16.03.2020,3.70
Stockport MBC,Services to Place,Childrens & Educational Services,POSTAL SERVICES-GOVERNMENT ONLY,MISCLASSIFIED? CHECK BEFORE PUBLICATION,UNCLASSIFIED  ,17.02.2020,16.03.2020,75.00
Stockport MBC,Services to Place,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,17.02.2020,16.03.2020,8.30
Stockport MBC,Services to Place,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,04.02.2020,16.03.2020,37.80
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,28.02.2020,16.03.2020,6.78
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,13.02.2020,16.03.2020,9.60
Stockport MBC,Services to People,Childrens & Educational Services,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",Fees and Charges,Education  ,13.02.2020,16.03.2020,60.00
Stockport MBC,Services to People,Childrens & Educational Services,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",Fees and Charges,Education  ,13.02.2020,16.03.2020,26.50
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Office Expenses,Mail Services   ,11.02.2020,16.03.2020,58.56
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Furniture and Equipment,Environmental Services Technical Equipment ,27.02.2020,16.03.2020,42.47
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,12.02.2020,16.03.2020,87.60
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Furniture and Equipment,Environmental Services Technical Equipment ,12.02.2020,16.03.2020,24.90
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Furniture and Equipment,Environmental Services Technical Equipment ,04.02.2020,16.03.2020,19.80
Stockport MBC,Services to People,Adult Social Care,DEPARTMENT STORES,Furniture and Equipment,Environmental Services Technical Equipment ,14.02.2020,16.03.2020,5.89
Stockport MBC,Services to People,Adult Social Care,DEPARTMENT STORES,Furniture and Equipment,Environmental Services Technical Equipment ,14.02.2020,16.03.2020,221.81
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,12.02.2020,16.03.2020,13.00
Stockport MBC,Services to People,Adult Social Care,FINES,Legal Fees,Legal Services  ,07.02.2020,16.03.2020,75.00
Stockport MBC,Services to People,Adult Social Care,FINES,Legal Fees,Legal Services  ,03.02.2020,16.03.2020,75.00
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,28.02.20,16.03.2020,10.50
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Library Equipment,Education Library Books ,27.02.2020,16.03.2020,49.50
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Library Equipment,Education Library Books ,27.02.2020,16.03.2020,146.17
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,24.02.2020,16.03.2020,5.80
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Library Equipment,Education Library Books ,11.02.2020,16.03.2020,17.99
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,11.02.2020,16.03.2020,56.38
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,03.02.2020,16.03.2020,32.49
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,27.02.2020,16.03.2020,146.80
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,27.02.2020,16.03.2020,36.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,27.02.2020,16.03.2020,183.90
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INNS,Travelling Expenses,TO BE ADDED,27.02.2020,16.03.2020,103.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,27.02.2020,16.03.2020,194.50
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,26.02.2020,16.03.2020,311.50
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Travelling Expenses,TO BE ADDED,12.02.2020,16.03.2020,313.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,11.02.2020,16.03.2020,114.30
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Travelling Expenses,TO BE ADDED,11.02.2020,16.03.2020,54.00
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Care Payments,Social Community Care Supplies & Services  ,11.02.2020,16.03.2020,317.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,07.02.2020,16.03.2020,166.30
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,07.02.2020,16.03.2020,677.50
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN,Travelling Expenses,TO BE ADDED,06.02.2020,16.03.2020,200.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,06.02.2020,16.03.2020,35.55
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,06.02.2020,16.03.2020,52.90
Stockport MBC,Services to People,Childrens & Educational Services,TRAVELODGE,Care Payments,Social Community Care Supplies & Services  ,06.02.2020,16.03.2020,65.01
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Care Payments,Social Community Care Supplies & Services  ,06.02.2020,16.03.2020,201.00
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Care Payments,TO BE ADDED,06.02.2020,16.03.2020,251.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,05.02.2020,16.03.2020,74.50
Stockport MBC,Services to People,Childrens & Educational Services,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Travelling Expenses,TO BE ADDED,04.02.2020,16.03.2020,184.77
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,04.02.2020,16.03.2020,"1,200.70"
