Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS
2019-07-10,ZSB664464,2,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,Highfields PRU,251.9,200123,10329
2019-07-10,ZSB664464,3,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,Highfields PRU,132,200123,10329
2019-07-10,ZSB664464,4,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,Highfields PRU,44,200123,10329
2019-07-10,ZSB664464,5,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,Highfields PRU,255.09,200123,10329
2019-07-19,ZSB664975,1,10985,Broadstones School Ltd,170000,Education  ,Fees and Charges,Services to People,Highfields PRU,"11,678.50",401033,10329
2019-09-11,ZSB667335,1,3529,Totally Local Company Ltd,111200,Catering Food & Beverages ,Catering Supplies,Services to People,Highfields PRU,52.69,400422,10329
2019-09-11,ZSB667335,2,3529,Totally Local Company Ltd,111200,Catering Food & Beverages ,Catering Supplies,Services to People,Highfields PRU,"4,585.32",400422,10329
2019-09-11,ZSB667335,3,3529,Totally Local Company Ltd,111200,Catering Food & Beverages ,Catering Supplies,Services to People,Highfields PRU,"5,525.39",400422,10329
2019-07-15,ZAV664696,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"3,861.76",402001,13001
2019-07-15,ZAV664696,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,76,402001,13001
2019-07-15,ZAV664696,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"1,650.00",402001,13001
2019-07-15,ZAV664696,4,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,192.5,402001,13001
2019-07-17,ZAV664836,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"4,998.00",402001,13001
2019-07-17,ZAV664836,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,487.2,402001,13001
2019-07-17,ZAV664836,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,466.2,402001,13001
2019-07-26,ZAV665340,1,3655,Exertis Micro-P,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"5,640.00",400105,13001
2019-07-26,ZAV665340,2,3655,Exertis Micro-P,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"3,364.50",400105,13001
2019-07-26,ZAV665340,3,3655,Exertis Micro-P,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,469.68,400105,13001
2019-07-03,ZSA664154,1,9715,NHS Stockport CCG,150000,Consultancy   ,Professional Fees,Services to People,IS&P Projects,"20,000.00",401020,11878
2019-07-22,ZSA665106,1,2209,FR Monkhouse Ltd,140000,Clothing  ,Clothing Uniforms and Laundry,Services to People,Social Fund - Prog,"6,000.00",400606,12705
2019-09-25,ZSA668021,1,1644,Tameside MBC,999999,Fees and Charges,Fees and Charges,Services to People,PH-Programme Mngmt,"7,522.00",401035,12732
2019-09-16,ZZC667551,1,216,Manchester City Council,170000,Education  ,Fees and Charges,Services to People,Money Following Pupi,"8,942.00",401026,12226
2019-08-20,ZZC666379,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,SF Senior Management,"80,410.00",500402,11486
2019-08-20,ZZC666378,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,SF Senior Management,"80,410.00",500402,11486
2019-08-20,ZZC666377,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,SC - CAHMS,"33,264.00",500402,11500
2019-08-20,ZZC666377,2,4369,Pennine Care NHS Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,SC - CAHMS,"61,283.64",500402,11500
2019-07-04,ZZC664247,1,13661,BUCKINGHAMSHIRE COUNTY COUNCIL,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"27,000.00",530306,12957
2019-07-04,ZZC664246,1,7030,MANCHESTER CITY COUNCIL SHARED,999999,Third party payments - Public Sector,Third party payments - Public Sector,Services to People,RAA Adoption Count,"99,000.00",500303,12957
2019-07-04,ZZC664245,1,2463,Hampshire County Council,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"27,000.00",530306,12957
2019-07-04,ZZC664244,1,11987,LEICESTER CITY COUNCIL,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"27,000.00",530306,12957
2019-07-10,ZZC664465,1,12536,CARITAS CARE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"16,000.00",530306,12957
2019-07-11,ZZC664555,1,8766,ADOPTION MATTERS NORTHWEST,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"9,809.34",401035,12968
2019-07-11,ZZC664554,1,9891,Link Maker Systems Ltd.,390000,"Works - Construction, Repair & Maintenance  ",Fees and Charges,Services to People,RAA Adoption Count,"33,246.96",401017,12957
2019-07-11,ZZC664596,1,11967,POST ADOPTION CENTRE,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"24,000.00",401035,12968
2019-07-12,ZZC664632,1,9220,NGA NATIONAL GOVERNORS ASSOCIA,200000,Financial Services  ,Fees and Charges,Services to People,SI - School Govern,"9,180.00",402401,10755
2019-07-16,ZZC664785,1,6342,GREATER MANCHESTER POLICE AUTH,999999,Fees and Charges,Fees and Charges,Services to People,YOS Non-Staffing,"25,000.00",402404,11503
2019-07-22,ZZC665039,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"11,390.00",401035,12968
2019-07-22,ZZC665038,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"11,390.00",401035,12968
2019-08-08,ZZC665963,1,13551,Permanent Futures Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Senior Management,"35,000.00",100290,12923
2019-07-22,ZZC665059,1,10855,Bloom Procurement Services,150000,Consultancy   ,Professional Fees,Services to People,Werneth Programme,"107,045.00",401020,13030
2019-07-22,ZZC665068,1,12677,Adopters for Adoption Ltd,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"2,960.00",401035,12968
2019-07-22,ZZC665068,2,12677,Adopters for Adoption Ltd,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"2,960.00",401035,12968
2019-07-22,ZZC665067,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
2019-08-05,ZZC665713,1,11242,Gateway Psychology Ltd,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"9,954.00",401035,12968
2019-08-15,ZZC666255,1,13717,South Cheshire Psychology Serv,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
2019-08-05,ZZC665712,1,8766,ADOPTION MATTERS NORTHWEST,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"8,220.75",401035,12968
2019-08-05,ZZC665707,1,13686,DEVON COUNTY COUNCIL,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"27,000.00",530306,12957
2019-08-05,ZZC665706,1,13686,DEVON COUNTY COUNCIL,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"27,000.00",530306,12957
2019-08-05,ZZC665709,1,13084,CORAM,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,CHILDREN PARTCPTN. T,"7,449.73",401024,11498
2019-08-05,ZZC665710,1,13084,CORAM,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,CHILDREN PARTCPTN. T,"7,449.73",401024,11498
2019-08-07,ZZC665797,1,5555,MANCHESTER DEAF CENTRE LTD,261100,Human Resources Interpretation & Translation ,Professional Fees,Services to People,Incl - S.I.U - Perip,"5,471.56",401023,10307
2019-08-13,ZZC666154,1,12298,One Education Ltd,150000,Consultancy   ,Professional Fees,Services to People,RAA - Ctr Excellence,"27,750.00",401007,12967
2019-08-13,ZZC666153,1,11417,Parents and Children Together,150000,Consultancy   ,Professional Fees,Services to People,RAA Adoption Count,"10,000.00",401020,12957
2019-08-13,ZZC666152,1,2104,Central Manchester University,310000,Healthcare  ,Third party payments - Public Sector,Services to People,RAA - Ctr Excellence,"35,088.75",500402,12967
2019-08-13,ZZC666151,1,2104,Central Manchester University,310000,Healthcare  ,Third party payments - Public Sector,Services to People,RAA Adoption Count,"14,036.82",500402,12957
2019-08-15,ZZC666254,1,13735,Leicestershire County Council,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"27,000.00",530306,12957
2019-08-15,ZZC666253,1,13734,SCOTTISH ADOPTION,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"31,620.00",530306,12957
2019-08-14,ZZC666198,1,13460,FWL & Associates,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Services to People,SEND Inspection,"12,600.00",500530,13026
2019-08-15,ZZC666252,1,13717,South Cheshire Psychology Serv,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
2019-08-19,ZZC666347,1,1339,Stockport NHS Foundation Trust,999999,Fees and Charges,Fees and Charges,Services to People,EHP Early Interventn,"106,837.00",402404,12600
2019-08-21,ZZC666504,1,837,Bolton MBC Corporate Resources,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"16,200.00",530306,12957
2019-08-21,ZZC666503,1,12536,CARITAS CARE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"43,000.00",530306,12957
2019-08-21,ZZC666502,1,2463,Hampshire County Council,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"27,000.00",530306,12957
2019-08-21,ZZC666501,1,12612,Barnardo's Adoption Midlands,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"31,620.00",530306,12957
2019-09-10,ZZC667257,1,12106,KMS Media,190000,Facilities & Management Services  ,Office Expenses,Services to People,RAA Adoption Count,"7,713.80",400700,12957
2019-09-10,ZZC667256,1,8766,ADOPTION MATTERS NORTHWEST,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"8,190.42",401035,12968
2019-09-11,ZZC667361,1,8766,ADOPTION MATTERS NORTHWEST,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
2019-09-19,ZZC667818,1,11320,Mike Hall Associates,150000,Consultancy   ,Professional Fees,Services to People,RAA - Ctr Excellence,"20,000.00",401007,12967
2019-09-20,ZZC667869,1,13804,Nottinghamshire County Council,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"31,620.00",530306,12957
2019-09-24,ZZC668002,1,13509,Cuffe and Lacey,150000,Consultancy   ,Professional Fees,Services to People,FP - Special Guardia,"5,464.50",401007,13012
2019-07-22,ZZP665074,1,683,AECOM Limited,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"21,787.20",401020,11965
2019-07-05,ZZP664288,1,10780,Permicoat Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"690,056.00",200311,C.10406.194
2019-07-08,ZZP664356,1,10780,Permicoat Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"164,343.00",200311,C.11508.006
2019-07-19,ZZP664980,1,7650,Liquid Roofing Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"142,899.03",200311,C.10319.109
2019-07-19,ZZP664979,1,7650,Liquid Roofing Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"90,528.37",200311,C.10327.109
2019-07-19,ZZP664978,1,7650,Liquid Roofing Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"84,841.79",200311,C.10342.229
2019-07-19,ZZP664977,1,7650,Liquid Roofing Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"292,977.91",200311,C.10422.109
2019-07-17,ZZP664888,1,7650,Liquid Roofing Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"172,673.90",200311,C.11508.007
2019-07-18,ZZP664916,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"56,748.93",200304,C.11507.003
2019-07-19,ZZP664989,1,5788,DESIGNED ROOF SYSTEMS LTD,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"186,470.00",200311,C.10369.109
2019-07-19,ZZP664988,1,5788,DESIGNED ROOF SYSTEMS LTD,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"238,225.00",200311,C.10396.130
2019-07-19,ZZP664987,1,5788,DESIGNED ROOF SYSTEMS LTD,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"205,830.00",200311,C.10332.109
2019-07-19,ZZP664986,1,5788,DESIGNED ROOF SYSTEMS LTD,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"247,115.00",200311,C.10325.109
2019-07-22,ZZP665105,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,#N/A,#N/A,"56,057.00",200123,C.10396.130
2019-07-22,ZZP665104,1,7650,Liquid Roofing Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"9,376.63",200311,C.10523.193
2019-07-26,ZZP665313,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"205,383.00",200311,C.10296.190
2019-07-26,ZZP665311,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"280,108.00",200311,C.10296.190
2019-07-25,ZZP665285,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"33,345.00",401020,11965
2019-07-26,ZZP665317,1,5531,A COPELAND ELECTRICAL,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"219,398.81",200311,C.10333.181
2019-07-30,ZZP665455,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"28,920.00",401007,C.00468.202
2019-08-07,ZZP665889,1,12653,DAC Beachcroft LLP,280000,Legal Services  ,Legal Fees,#N/A,#N/A,0,401016,C.10423.184
2019-08-07,ZZP665889,1,12653,DAC Beachcroft LLP,280000,Legal Services  ,Legal Fees,#N/A,#N/A,"4,000.00",401016,C.10423.184
2019-08-07,ZZP665889,1,12653,DAC Beachcroft LLP,280000,Legal Services  ,Legal Fees,#N/A,#N/A,"4,000.00",401016,C.11508.006
2019-08-19,ZZP666350,1,10203,PINSENT MASONS LLP,280000,Legal Services  ,Legal Fees,#N/A,#N/A,"7,929.00",401016,C.10423.184
2019-08-20,ZZP666439,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,#N/A,#N/A,"12,527.00",200155,C.11504.001
2019-08-27,ZZP666653,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,#N/A,#N/A,"12,527.00",200160,C.11504.013
2019-09-03,ZZP666973,1,4708,The Dodd Group,391114,"Works - Construction, Repair & Maintenance Buildings Surveys",Capital Expenditure - Fees,Services to People,Condition Surveys,"34,950.90",200316,10734
2019-09-17,ZZP667694,1,2388,Young & Company,240000,Horticultural  ,Grounds Maintenance,Corporate and Support Services,SPB - Investment Est,"12,157.03",202029,10062
2019-09-30,ZZP668252,1,2479,JR Foy and Son Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"5,685.00",401600,C.00718.203
2019-09-30,ZZP668294,1,5531,A COPELAND ELECTRICAL,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,#N/A,#N/A,"382,695.39",200121,C.10319.109
2019-07-12,ZHS660585-005,1,13119,Fire Safety Solutions Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"5,630.00",200311,C.11600.023
2019-07-23,ZHS664942-001,1,13541,PRP Architects LLP.,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"7,581.17",200304,C.10937.002
2019-08-09,ZHS664942-002,1,13541,PRP Architects LLP.,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"30,000.00",200304,C.10937.002
2019-09-23,ZHS667889,1,13541,PRP Architects LLP.,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"14,437.50",200304,C.10937.002
2019-09-30,ZHS660585-008,1,13119,Fire Safety Solutions Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"5,800.00",200311,C.11617.033
2019-08-15,ZFC666229,1,1799,Stockport Homes,391114,"Works - Construction, Repair & Maintenance Buildings Surveys",Capital Expenditure - Fees,Corporate and Support Services,Property Client Acct,"10,929.39",200316,12328
2019-08-22,ZFC666517,1,13662,Electricity North West (Constr,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Est.,"13,824.00",200156,11662
2019-08-22,ZFC666517,2,13662,Electricity North West (Constr,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Est.,"5,560.00",200156,11662
2019-08-30,ZES666822,1,12746,Camworth Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"2,164.26",402001,11324
2019-08-30,ZES666822,2,12746,Camworth Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"1,732.24",402001,11324
2019-08-30,ZES666822,3,12746,Camworth Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"1,745.36",402001,11324
2019-08-30,ZES666822,4,12746,Camworth Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"1,137.70",402001,11324
2019-08-30,ZES666822,5,12746,Camworth Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,12,402001,11324
2019-09-11,ZES667326,1,5740,ANS Group Plc,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"6,602.36",402002,11324
2019-09-27,ZES668167,1,544,Phoenix Software Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,IT Main,"10,350.00",102020,11073
2019-09-27,ZES668167,2,544,Phoenix Software Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,IT Main,"2,300.00",102020,11073
2019-09-27,ZES668167,3,544,Phoenix Software Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,IT Main,700,102020,11073
2019-07-03,ZZH664153,1,9715,NHS Stockport CCG,260000,Human Resources  ,Other Payments,Services to People,Transformation Fund,"113,000.00",100304,12926
2019-07-02,ZZH664062,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,CYPD works,"16,293.13",202031,11258
2019-07-02,ZZH664061,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,Services to Place,Special Project 9,"45,000.00",401600,11275
2019-07-01,ZZH664028,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"45,000.00",401600,C.01194.203
2019-07-01,ZZH664018,1,10615,Mosaic Event Catering Limited,110000,Catering  ,Catering Supplies,Corporate and Support Services,Town Hall Events,"5,279.71",400420,11375
2019-07-01,ZZH664041,1,8879,Poynton High School,170000,Education  ,Third party payments - Public Sector,Services to People,OLA pupils,"6,850.00",500304,10371
2019-07-01,ZZH664044,1,6748,GEORGE COX & SONS LTD,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Mill Lane Cemetery,"10,868.50",400105,11287
2019-07-02,ZZH664064,1,12180,Acorn Care and Education,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent Sch,"20,196.00",401024,10372
2019-07-04,ZZH664251,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"21,030.10",200304,C.01205.203
2019-07-02,ZZH664095,1,2453,Medlock FRB Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"11,274.50",401007,C.10904.007
2019-07-02,ZZH664107,1,1644,Tameside MBC,200000,Financial Services  ,Fees and Charges,Corporate and Support Services,IT Main,"7,280.00",402401,11073
2019-07-03,ZZH664150,1,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"6,930.00",400401,10864
2019-07-04,ZZH664252,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,"9,036.79",401600,C.01255.203
2019-07-02,ZZH664090,1,7472,Oldham Council,202100,Financial Services Subscriptions ,Third party payments - Public Sector,Corporate and Support Services,POD Core Staffing,"8,000.00",500305,12590
2019-07-04,ZZH664253,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,"30,299.45",401600,C.01221.203
2019-07-03,ZZH664148,1,5276,ESE Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"4,570.30",400401,10864
2019-07-03,ZZH664148,2,5276,ESE Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"3,264.50",400401,10864
2019-07-03,ZZH664174,1,11058,Stockport Town Centre Business,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Economic Development,"15,000.00",401801,10103
2019-07-04,ZZH664254,1,814,United Utilities/Diversiona,230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,"28,321.16",202055,C.00991.202
2019-07-03,ZZH664151,1,13544,Walker Simpson Architects Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Seashell Trust appea,"9,873.00",401007,13009
2019-07-03,ZZH664193,1,3707,Salford City Council/Finance,999999,Third party payments - Public Sector,Third party payments - Public Sector,Services to Place,Air Group,"10,000.00",500303,10920
2019-07-04,ZZH664278,1,10105,Mastercall Healthcare,260000,Human Resources  ,Other Payments,Services to People,iBCF,"96,000.00",100304,13000
2019-07-04,ZZH664255,1,13680,WRIGHT LANDSCAPES LTD,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"37,836.76",200304,C.01055.203
2019-07-12,ZZH664671,1,5668,Onward,202000,Financial Services Rents ,Rents,Services to People,LD Care Purchasing,"5,000.00",200700,11837
2019-07-12,ZZH664670,1,5668,Onward,202000,Financial Services Rents ,Rents,Services to People,LD Care Purchasing,"5,000.00",200700,11837
2019-07-15,ZZH664716,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,Services to Place,Emergency Tree Works,"5,280.00",401600,11168
2019-07-05,ZZH664332,1,6748,GEORGE COX & SONS LTD,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Highfield Cemetery,"9,745.43",200123,11282
2019-07-09,ZZH664412,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"5,880.52",200304,C.01205.203
2019-07-09,ZZH664413,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"70,910.00",401007,C.01179.202
2019-07-09,ZZH664425,1,5464,ELECTRICITY NORTH WEST LIMITED,230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,"47,766.48",202055,C.00991.201
