Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area,Net Order Value Over £5000.00 
2017-11-08,ZSA281276,1,1339,Stockport NHS Foundation Trust,999999,UNCLASSIFIED  ,,Services to People,Intermediate Care FT,607500.00
2017-11-09,ZSA281362,1,4369,Pennine Care NHS Trust,261400,Human Resources Temporary & Agency Staff ,,Services to People,Ld Service Mgt Costs Medical Services,30000.00
2017-11-15,ZSA281662,1,9018,Future Directions CIC,320000,Social Community Care Supplies & Services  ,,Services to People,Calderstones 4 Properties,7000.00
2017-11-29,ZSA282302,1,10346,STOCKPORT ADVOCACY,150000,Consultancy   ,,Services to People,Advocacy,99516.68
2017-11-29,ZSA282325,1,1339,Stockport NHS Foundation Trust,260000,Human Resources  ,,Services to People,Transformation Fund-Enablers,200000.00
2017-12-04,ZSA282499,1,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,6400.00
2017-12-04,ZSA282499,2,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,1124.10
2017-12-04,ZSA282499,3,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,408.00
2017-12-04,ZSA282499,4,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,65.00
2017-12-04,ZSA282499,5,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,20.80
2017-12-04,ZSA282499,6,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,340.00
2017-12-13,ZSA283032,1,8696,Chubb Security,210000,Furniture & Soft Furnishings  ,,Services to People,Equipment & Minor Aids,665.50
2017-12-13,ZSA283032,2,8696,Chubb Security,210000,Furniture & Soft Furnishings  ,,Services to People,Equipment & Minor Aids,1635.90
2017-12-13,ZSA283032,3,8696,Chubb Security,210000,Furniture & Soft Furnishings  ,,Services to People,Equipment & Minor Aids,3320.00
2017-12-13,ZSA283032,4,8696,Chubb Security,210000,Furniture & Soft Furnishings  ,,Services to People,Equipment & Minor Aids,128.75
2017-12-13,ZSA283032,5,8696,Chubb Security,210000,Furniture & Soft Furnishings  ,,Services to People,Equipment & Minor Aids,424.10
2017-12-18,ZSA283213,1,12538,Toasted Productions Ltd,190000,Facilities & Management Services  ,,Services to People,Transformation Fund-Provider,7525.00
2017-12-18,ZSA283267,1,1104,Age UK Stockport,390000,Supplies and services,,Services to People,Support at Home (WIN),300000.00
2017-12-18,ZSA283268,1,1382,Pure Innovations Ltd,390000,Supplies and services,,Services to People,Social Support (WIN),300000.00
2017-12-18,ZSA283269,1,10338,STOCKPORT CAR SCHEMES,390000,Supplies and services,,Services to People,Community Transport (WIN),120000.00
2017-10-05,ZSB279542,1,1799,Stockport Homes,999999,Supplies and services,,Services to People,Highfields Inclusion Partnership,6582.02
2017-10-31,ZSB280744,1,3529,Totally Local Company Ltd,111200,Catering Food & Beverages ,,Services to People,Highfields Inclusion Partnership,7161.34
2017-12-06,ZSB282643,1,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",,Services to People,Highfields Inclusion Partnership,10000.00
2017-12-06,ZSB282644,1,10951,OPUS ENERGY LTD,370000,Utilities   ,,Services to People,Highfields Inclusion Partnership,8000.00
2017-10-03,ZZC279370,1,12332,Broad Oak Primary School,170000,Education  ,,Services to People,Lea-Other Local Authorities,15628.00
2017-10-05,ZZC279501,1,628,Life Leisure,150000,Consultancy   ,,Services to People,S2S-SSCO Partnership,12800.00
2017-10-05,ZZC279502,1,12337,Priory Education Services - Ol,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,151157.00
2017-10-05,ZZC279503,1,12332,Broad Oak Primary School,170000,Education  ,,Services to People,Lea-Other Local Authorities,8871.00
2017-10-05,ZZC279548,1,11667,MYCLOUD LIMITED,150000,Consultancy   ,,Services to People,MOS - Mosaic Management,10000.00
2017-10-06,ZZC279619,1,12139,Fairfield Care Lltd,320000,Social Community Care Supplies & Services  ,,Services to People,DP - Respite,14400.00
2017-10-06,ZZC279620,1,12226,MedGen,320000,Social Community Care Supplies & Services  ,,Services to People,DP - Respite,8500.00
2017-10-09,ZZC279665,1,12345,Hesley Group,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,151000.00
2017-10-09,ZZC279666,1,4122,Ramillies Hall Pre-School Nurs,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,9076.00
2017-10-09,ZZC279667,1,12269,PENARTH GROUP,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,23940.00
2017-10-09,ZZC279670,1,628,Life Leisure,320000,Social Community Care Supplies & Services  ,,Services to People,LAC - Care Matters,8000.00
2017-10-10,ZZC279765,1,4122,Ramillies Hall Pre-School Nurs,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,15300.00
2017-10-11,ZZC279848,1,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,,Services to People,SG - Child Prot-Lscb,912.00
2017-10-11,ZZC279848,2,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,,Services to People,SG - Child Prot-Lscb,7547.40
2017-10-11,ZZC279848,3,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,,Services to People,SG - Child Prot-Lscb,74.76
2017-10-11,ZZC279848,4,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,,Services to People,SG - Child Prot-Lscb,42.00
2017-10-16,ZZC280007,1,12367,Beech Hall School,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,25544.00
2017-10-16,ZZC280008,1,12367,Beech Hall School,261500,Human Resources Training & Conferences ,,Services to People,Perip-Classroom Assistant - Learning Dif,16600.00
2017-10-17,ZZC280075,1,3707,Salford City Council/Finance,270000,Information Communication Technology  ,,Services to People,RAA Adoption Count,8257.50
2017-10-17,ZZC280076,1,8249,Creative Concern Ltd,190000,Facilities & Management Services  ,,Services to People,FP – Regional Adoption Agency,6615.00
2017-10-17,ZZC280077,1,9511,TRAFFORD MB COUNCIL,150000,Consultancy   ,,Services to People,FP – Regional Adoption Agency,23660.64
2017-10-17,ZZC280078,1,12106,KMS Media,190000,Facilities & Management Services  ,,Services to People,RAA Adoption Count,24867.00
2017-10-17,ZZC280090,1,12372,Transport Service Solutions,210000,Furniture & Soft Furnishings  ,,Services to People,Lea-Sen Transport,5789.41
2017-10-18,ZZC280197,1,9656,Christopher Swire,150000,Consultancy   ,,Services to People,Ethnic Diversity Service,6000.00
2017-10-19,ZZC280280,1,12362,Intercountry Adoption Centre,320000,Social Community Care Supplies & Services  ,,Services to People,SC - NW Strategic Safeguarding,15000.00
2017-10-24,ZZC280418,1,12266,Vision Beyond Autism CIC,261500,Human Resources Training & Conferences ,,Services to People,Perip-Classroom Assistant - Learning Dif,17500.00
2017-10-24,ZZC280419,1,12180,Acorn Care and Education,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,17345.50
2017-10-25,ZZC280522,1,6702,Cheshire West and Chester Coun,320000,Social Community Care Supplies & Services  ,,Services to People,FP - Adoption Inter Agency,9000.00
2017-10-26,ZZC280582,1,7167,Cheshire East Borough Council.,320000,Social Community Care Supplies & Services  ,,Services to People,FP - Adoption Inter Agency,14333.00
2017-10-26,ZZC280583,1,8766,ADOPTION MATTERS NORTHWEST,320000,Social Community Care Supplies & Services  ,,Services to People,FP - Adoption Inter Agency,27000.00
2017-10-26,ZZC280584,1,9511,TRAFFORD MB COUNCIL,320000,Social Community Care Supplies & Services  ,,Services to People,FP - Adoption Inter Agency,27000.00
2017-10-30,ZZC280721,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,VST - Pupil Premium Grant,5690.00
2017-10-30,ZZC280721,2,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,VST - Pupil Premium Grant,0.00
2017-10-30,ZZC280721,3,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,VST - Pupil Premium Grant,0.00
2017-10-30,ZZC280721,4,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,VST - Pupil Premium Grant,0.00
2017-10-30,ZZC280721,5,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,VST - Pupil Premium Grant,0.00
2017-10-30,ZZC280729,1,3529,Totally Local Company Ltd,150000,Consultancy   ,,Services to People,Central House,382.72
2017-10-30,ZZC280729,2,3529,Totally Local Company Ltd,150000,Consultancy   ,,Services to People,Central House,2864.42
2017-10-30,ZZC280729,3,3529,Totally Local Company Ltd,150000,Consultancy   ,,Services to People,Central House,1118.26
2017-10-30,ZZC280729,4,3529,Totally Local Company Ltd,150000,Consultancy   ,,Services to People,Central House,1219.92
2017-10-30,ZZC280729,5,3529,Totally Local Company Ltd,150000,Consultancy   ,,Services to People,Central House,89.70
2017-10-30,ZZC280736,1,1339,Stockport NHS Foundation Trust,320000,Social Community Care Supplies & Services  ,,Services to People,EHP TP Commissioning,30000.00
2017-10-31,ZZC280790,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,,Services to People,Perip-Classroom Assistant - Learning Dif,18336.00
2017-11-02,ZZC280923,1,1722,The Together Trust Centre,150000,Consultancy   ,,Services to People,Perip-Classroom Assistant - Learning Dif,150000.00
2017-11-02,ZZC280934,1,11705,Parents in Partnership Stockpo,999999,Fees and Charges,,Services to People,SEN Reform,5000.00
2017-11-03,ZZC280999,1,1722,The Together Trust Centre,261500,Human Resources Training & Conferences ,,Services to People,SEN Independent School Fees Non Maintained Sch,33023.04
2017-11-06,ZZC281066,1,1722,The Together Trust Centre,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,20460.42
2017-11-07,ZZC281097,1,12388,Wistaston Church Lane Academy,170000,Education  ,,Services to People,Lea-Other Local Authorities,6850.00
2017-11-09,ZZC281303,1,9715,NHS Stockport CCG,260000,Human Resources  ,,Services to People,SHV SFW School Aged +,20000.00
2017-11-09,ZZC281343,1,1722,The Together Trust Centre,320000,Social Community Care Supplies & Services  ,,Services to People,DP - Respite,8500.00
2017-11-09,ZZC281346,1,1722,The Together Trust Centre,290000,Arts & Leisure Services  ,,Services to People,DP -  Aiming High Activities & Events,5441.82
2017-11-09,ZZC281347,1,1722,The Together Trust Centre,290000,Arts & Leisure Services  ,,Services to People,DP -  Aiming High Activities & Events,15141.64
2017-11-09,ZZC281349,1,1382,Pure Innovations Ltd,290000,Arts & Leisure Services  ,,Services to People,DP -  Aiming High Activities & Events,5384.72
2017-11-13,ZZC281484,1,628,Life Leisure,181600,Environmental Services Street Cleansing ,,Services to People,PH-Lifestyles,19578.00
2017-11-14,ZZC281583,1,3538,The University of Sheffield,999999,Fees and Charges,,Services to People,Incl - Psychologists,16950.00
2017-11-16,ZZC281733,1,12447,HEATON HOLIDAY CLUB,290000,Arts & Leisure Services  ,,Services to People,DP -  Aiming High Activities & Events,9333.34
2017-11-21,ZZC281917,1,12265,Lancasterian School,170000,Education  ,,Services to People,Lea-Other Local Authorities,28000.00
2017-11-22,ZZC282000,1,12027,DEAFNESS SUPPORT NETWORK,320000,Social Community Care Supplies & Services  ,,Services to People,DP - Respite,9000.00
2017-11-24,ZZC282107,1,4047,Caritas Diocese of Salford,320000,Social Community Care Supplies & Services  ,,Services to People,RAA Adoption Count,81000.00
2017-11-27,ZZC282164,1,11958,PIPER HILL SCHOOL,170000,Education  ,,Services to People,Lea-Other Local Authorities,9922.38
2017-11-27,ZZC282209,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,,Services to People,SC - CAHMS,56400.00
2017-11-27,ZZC282210,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,,Services to People,SC - CAHMS,94553.04
2017-11-27,ZZC282211,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,,Services to People,SC - CAHMS,40104.00
2017-11-28,ZZC282269,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,,Services to People,SC - CAHMS,10000.00
2017-11-28,ZZC282270,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,,Services to People,SC - CAHMS,9178.88
2017-11-28,ZZC282293,1,12480,TS4TE Cooperative Ltd,390000,Supplies and services,,Services to People,PH-Health Protection,5700.00
2017-11-28,ZZC282293,2,12480,TS4TE Cooperative Ltd,390000,Supplies and services,,Services to People,PH-Health Protection,3500.00
2017-11-29,ZZC282321,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,,Services to People,PTG Troubled Families,22400.00
2017-11-30,ZZC282407,1,5995,Cheadle House,190000,Facilities & Management Services  ,,Services to People,SI - Advisers,6550.00
2017-12-04,ZZC282508,1,12488,FAMILIES FOR CHILDREN,320000,Social Community Care Supplies & Services  ,,Services to People,RAA Adoption Count,43000.00
2017-12-04,ZZC282509,1,11320,Mike Hall Associates,150000,Consultancy   ,,Services to People,RAA - Centre of Excellence Grant,23400.00
2017-12-04,ZZC282509,1,11320,Mike Hall Associates,150000,Consultancy   ,,Services to People,RAA - Regionalisation ASF Grant,23400.00
2017-12-07,ZZC282728,1,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.70
2017-12-07,ZZC282728,2,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.70
2017-12-07,ZZC282728,3,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.70
2017-12-07,ZZC282728,4,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.70
2017-12-07,ZZC282728,5,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,1049.40
2017-12-07,ZZC282728,6,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.70
2017-12-07,ZZC282728,7,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.70
2017-12-07,ZZC282728,8,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.70
2017-12-07,ZZC282728,9,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.70
2017-12-07,ZZC282765,1,628,Life Leisure,150000,Consultancy   ,,Services to People,S2S-SSCO Partnership,15680.00
2017-12-12,ZZC282974,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,LAC - Leaving Care Services,4190.00
2017-12-12,ZZC282974,2,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,LAC - Leaving Care Services,250.00
2017-12-12,ZZC282974,3,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,LAC - Leaving Care Services,690.00
2017-12-12,ZZC282974,4,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,LAC - Leaving Care Services,90.00
2017-12-12,ZZC282974,5,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,LAC - Leaving Care Services,470.00
2017-12-14,ZZC283078,1,12536,CARITAS CARE,320000,Social Community Care Supplies & Services  ,,Services to People,FP - Adoption Inter Agency,9000.00
2017-12-18,ZZC283207,1,11466,High Peak School Ltd,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,16125.00
2017-12-18,ZZC283248,1,10289,STOCKPORT SAMARITANS,390000,Supplies and services,,Services to People,PH-Mental Wellbeing,12000.00
2017-12-19,ZZC283333,1,10346,STOCKPORT ADVOCACY,150000,Consultancy   ,,Services to People,SC - CAHMS,5000.00
2017-12-19,ZZC283346,1,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",5275.00
2017-12-19,ZZC283346,2,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",1748.00
2017-12-19,ZZC283346,3,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",421.00
2017-12-19,ZZC283346,4,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",627.00
2017-12-19,ZZC283346,5,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",129.00
2017-12-19,ZZC283346,6,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",1080.00
2017-12-19,ZZC283346,7,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",94.00
2017-12-19,ZZC283346,8,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",606.00
2017-12-19,ZZC283346,9,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",395.00
2017-12-19,ZZC283346,10,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",397.00
2017-12-19,ZZC283346,11,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",113.00
2017-12-19,ZZC283346,12,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",174.00
2017-12-19,ZZC283346,13,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",39.00
2017-12-19,ZZC283346,14,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",357.00
2017-12-19,ZZC283346,15,12544,Gerald Simonds Healthcare Ltd,311410,Healthcare Occupational Therapy Services ,,Services to People,"HTV YP Educ, Careers and Advice Service",40.00
2017-12-20,ZZC283358,1,12170,QUALITY PROTECTS CHILDREN LTD,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,24510.00
2017-12-20,ZZC283364,1,4083,Hulme Hall School,261500,Human Resources Training & Conferences ,,Services to People,Perip-Classroom Assistant - Learning Dif,5493.66
2017-10-02,ZZP279283,1,8475,Link Treasury Services Limited,999999,UNCLASSIFIED  ,,Corporate and Support Services (Tech),TM Interest Payable,21650.00
