Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS,,,,,,,,,,,
13/02/2018,ZAV285668,2,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,96.00,400110,11417,,,,,,,,,,,
13/02/2018,ZAV285668,3,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,25.00,400110,11417,,,,,,,,,,,
13/02/2018,ZAV285668,4,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,180.00,400110,11417,,,,,,,,,,,
13/02/2018,ZAV285668,5,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,180.00,400110,11417,,,,,,,,,,,
13/02/2018,ZAV285668,6,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,300.00,400110,11417,,,,,,,,,,,
09/03/2018,ZAV286903,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"14,000.00",402001,11417,,,,,,,,,,,
09/03/2018,ZAV286909,1,9441,Softcat Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"20,475.00",402001,11417,,,,,,,,,,,
13/03/2018,ZAV287059,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"5,124.00",402001,11417,,,,,,,,,,,
13/03/2018,ZAV287059,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,96.00,402001,11417,,,,,,,,,,,
13/03/2018,ZAV287059,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,25.00,402001,11417,,,,,,,,,,,
15/03/2018,ZAV287285,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"7,776.00",402001,11417,,,,,,,,,,,
15/03/2018,ZAV287285,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,144.00,402001,11417,,,,,,,,,,,
15/03/2018,ZAV287285,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,25.00,402001,11417,,,,,,,,,,,
15/03/2018,ZAV287285,4,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,270.00,402001,11417,,,,,,,,,,,
15/03/2018,ZAV287285,5,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,270.00,402001,11417,,,,,,,,,,,
15/03/2018,ZAV287285,6,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,450.00,402001,11417,,,,,,,,,,,
15/03/2018,ZAV287286,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"5,250.00",402001,11417,,,,,,,,,,,
28/03/2018,ZAV287917,1,9071,JTRS Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,223.80,402001,11417,,,,,,,,,,,
28/03/2018,ZAV287917,2,9071,JTRS Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"1,550.00",402001,11417,,,,,,,,,,,
28/03/2018,ZAV287917,3,9071,JTRS Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"1,850.00",402001,11417,,,,,,,,,,,
28/03/2018,ZAV287917,4,9071,JTRS Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"1,550.00",402001,11417,,,,,,,,,,,
10/01/2018,ZES283919,1,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,YOS Non-Staffing,"10,964.70",400110,11503,,,,,,,,,,,
10/01/2018,ZES283919,2,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,YOS Non-Staffing,63.00,400110,11503,,,,,,,,,,,
10/01/2018,ZES283919,3,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,YOS Non-Staffing,63.00,400110,11503,,,,,,,,,,,
17/01/2018,ZES284246,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,PLANNING,"7,058.24",402001,12150,,,,,,,,,,,
17/01/2018,ZES284246,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,PLANNING,56.00,402001,12150,,,,,,,,,,,
17/01/2018,ZES284246,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,PLANNING,56.00,402001,12150,,,,,,,,,,,
17/01/2018,ZES284246,4,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,PLANNING,76.00,402001,12150,,,,,,,,,,,
23/01/2018,ZES284495,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,T ASC Software Replacement,"6,425.00",402002,12958,,,,,,,,,,,
23/01/2018,ZES284495,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,T ASC Software Replacement,"2,878.00",402002,12958,,,,,,,,,,,
25/01/2018,ZES284667,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,T ASC Software Replacement,"12,850.00",402002,12958,,,,,,,,,,,
25/01/2018,ZES284667,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,T ASC Software Replacement,"2,878.00",402002,12958,,,,,,,,,,,
26/01/2018,ZES284778,1,12608,Liquidlogic Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,T ASC Software Replacement,"308,204.00",402002,12958,,,,,,,,,,,
29/01/2018,ZES284854,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"36,475.00",402002,11324,,,,,,,,,,,
29/01/2018,ZES284855,1,12602,The Networking People Ltd (Nor,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Digital by Design Technical,"2,875.00",402002,11078,,,,,,,,,,,
29/01/2018,ZES284855,2,12602,The Networking People Ltd (Nor,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Digital by Design Technical,"25,485.00",402002,11078,,,,,,,,,,,
30/01/2018,ZES284881,1,9353,Capita IT Services t/a NTS (UK,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"36,475.77",402002,11324,,,,,,,,,,,
31/01/2018,ZES284941,1,845,Dotted Eyes Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Spatial Intelligence,"5,566.00",402010,11973,,,,,,,,,,,
13/02/2018,ZES285628,1,2398,Fibrelite (Northwest) Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,EP - Fostercare,"13,740.00",402006,11439,,,,,,,,,,,
21/02/2018,ZES286088,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Ethnic Diversity Service,"5,206.40",402001,10305,,,,,,,,,,,
21/02/2018,ZES286088,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Ethnic Diversity Service,35.00,402001,10305,,,,,,,,,,,
21/02/2018,ZES286088,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Ethnic Diversity Service,35.00,402001,10305,,,,,,,,,,,
23/02/2018,ZES286200,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,DbD – Phase 2,"91,981.65",402001,12961,,,,,,,,,,,
23/02/2018,ZES286200,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,DbD – Phase 2,528.50,402001,12961,,,,,,,,,,,
23/02/2018,ZES286200,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,DbD – Phase 2,528.50,402001,12961,,,,,,,,,,,
23/02/2018,ZES286200,4,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,DbD – Phase 2,"9,880.00",402001,12961,,,,,,,,,,,
23/02/2018,ZES286200,5,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,DbD – Phase 2,"1,339.00",402001,12961,,,,,,,,,,,
27/02/2018,ZES286358,1,11119,One Advanced,260000,Human Resources  ,Staff Training,Services to People,Reablement Management,899.00,102020,12714,,,,,,,,,,,
27/02/2018,ZES286358,2,11119,One Advanced,260000,Human Resources  ,Staff Training,Services to People,Reablement Management,"5,070.00",102020,12714,,,,,,,,,,,
27/02/2018,ZES286358,3,11119,One Advanced,260000,Human Resources  ,Staff Training,Services to People,Reablement Management,139.00,102020,12714,,,,,,,,,,,
28/02/2018,ZES286421,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Incl - Psychologists,"6,247.68",402001,10751,,,,,,,,,,,
28/02/2018,ZES286421,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Incl - Psychologists,42.00,402001,10751,,,,,,,,,,,
28/02/2018,ZES286421,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Incl - Psychologists,42.00,402001,10751,,,,,,,,,,,
16/03/2018,ZES287311,1,9035,Mavoda LLP,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"24,723.93",402001,11324,,,,,,,,,,,
16/03/2018,ZES287312,1,10004,Chess Cybersecurity Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Systems,"10,500.00",402002,12503,,,,,,,,,,,
16/03/2018,ZES287312,2,10004,Chess Cybersecurity Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Systems,"27,900.00",402002,12503,,,,,,,,,,,
19/03/2018,ZES287417,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Digital by Design Technical,"5,680.00",402002,11078,,,,,,,,,,,
19/03/2018,ZES287417,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Digital by Design Technical,"1,390.00",402002,11078,,,,,,,,,,,
27/03/2018,ZES287804,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Digital by Design Technical,"5,680.00",402002,11078,,,,,,,,,,,
27/03/2018,ZES287804,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Digital by Design Technical,"1,390.00",402002,11078,,,,,,,,,,,
25/01/2018,ZFC284691,1,8733,ELF SOFTWARE LTD,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Head of Property& Procurement,"6,749.00",400111,12328,,,,,,,,,,,
30/01/2018,ZFC284897,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"5,000.00",200125,11662,,,,,,,,,,,
05/02/2018,ZFC285177,1,4704,CPL Heating and Plumbing,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Libraries - refurbishment,"41,782.00",200311,C.11502.071,,,,,,,,,,,
05/02/2018,ZFC285178,1,4704,CPL Heating and Plumbing,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Libraries - refurbishment,"40,197.00",200311,C.11502.071,,,,,,,,,,,
05/02/2018,ZFC285188,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Capital Works on Leisure Centres - Grand Central,"527,417.92",200311,C.11507.003,,,,,,,,,,,
05/02/2018,ZFC285189,1,2426,GR Bayley Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Libraries - refurbishment,"62,983.21",200311,C.11502.071,,,,,,,,,,,
05/02/2018,ZFC285195,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Libraries - refurbishment,"17,391.31",200311,C.11502.071,,,,,,,,,,,
05/02/2018,ZFC285199,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Baker Street Redevelopment,"407,233.93",200311,C.11439,,,,,,,,,,,
05/02/2018,ZFC285200,1,4704,CPL Heating and Plumbing,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Libraries - refurbishment,"58,864.00",200311,C.11502.071,,,,,,,,,,,
06/02/2018,ZFC285266,1,2538,Whitfield and Brown Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Capital Works on Leisure Centres - Grand Central,"527,417.92",200311,C.11507.003,,,,,,,,,,,
08/02/2018,ZFC285436,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Baker Street Redevelopment,"38,176.25",200311,C.11439,,,,,,,,,,,
09/02/2018,ZFC285499,1,2632,Concept Elevators NW Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"5,000.00",200131,11662,,,,,,,,,,,
27/02/2018,ZFC286393,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"13,137.75",200155,11662,,,,,,,,,,,
05/03/2018,ZFC286635,1,12713,R Walker & Sons Preston Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Heaton Spec. Sch Double Mobile,"20,137.44",200311,C.10425.166,,,,,,,,,,,
19/03/2018,ZFC287386,1,4708,The Dodd Group,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,SPB Operational Estate,"24,417.81",400112,11662,,,,,,,,,,,
27/03/2018,ZFC287852,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Capital Works on Leisure Centres - Grand Central,"8,940.33",200126,C.11507.003,,,,,,,,,,,
07/03/2018,ZHS286784,1,8323,Wilkinson Cowan Partnership Lt,999999,Acquisition of Land and Buildings,Capital Expenditure - Acquisitions,Capital Expenditure,Hexham Close - On Costs,"19,111.65",200300,C.10923.002,,,,,,,,,,,
03/01/2018,ZHT283652,1,8842,Hill Property Services Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Cheadle Heath Pavillion - External works,"6,450.00",200311,C.11502.064,,,,,,,,,,,
09/01/2018,ZHT283850,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Libraries - refurbishment,"7,564.68",200311,C.11502.071,,,,,,,,,,,
01/03/2018,ZHT286477,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Capital Works on Leisure Centres - Avondale,"9,763.08",200126,C.11507.001,,,,,,,,,,,
20/03/2018,ZHT287453,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Capital Works on Leisure Centres - Grand Central,"52,501.28",200126,C.11507.003,,,,,,,,,,,
20/03/2018,ZHT287453,2,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Capital Works on Leisure Centres - Hazel Grove,"7,283.03",200126,C.11507.004,,,,,,,,,,,
12/02/2018,ZPC285615,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,Pendlebury Secondary Jigsaw,"6,125.00",500402,12709,,,,,,,,,,,
20/02/2018,ZPP286034,1,2324,LAR Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Baker Street Redevelopment,"7,089.00",200120,C.11439,,,,,,,,,,,
04/01/2018,ZSA283723,1,10735,Steve Goslyn,150000,Consultancy   ,Professional Fees,Services to People,Co-Production Project - Nesta,"19,000.00",401007,12647,,,,,,,,,,,
04/01/2018,ZSA283725,1,7830,IEG4  LTD,190000,Facilities & Management Services  ,Office Expenses,Services to People,Social Fund - Admin,"12,600.00",400703,12706,,,,,,,,,,,
08/01/2018,ZSA283793,1,4369,Pennine Care NHS Trust,999999,UNCLASSIFIED  ,MISCLASSIFIED? CHECK BEFORE PUBLICATION,Services to People,Intermediate care managers,"44,520.00",100115,11603,,,,,,,,,,,
08/01/2018,ZSA283832,1,1382,Pure Innovations Ltd,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Supported Employment Project,"99,000.00",561704,12974,,,,,,,,,,,
11/01/2018,ZSA283999,1,12580,Action Together CIO,150000,Consultancy   ,Professional Fees,Services to People,Co-Production Project - Nesta,"25,000.00",401007,12647,,,,,,,,,,,
30/01/2018,ZSA284904,1,1339,Stockport NHS Foundation Trust,311410,Healthcare Occupational Therapy Services ,Fees and Charges,Services to People,LD Physio Centre,"8,204.10",401212,11826,,,,,,,,,,,
30/01/2018,ZSA284939,1,10337,SIGNPOST STOCKPORT for CARERS,190000,Facilities & Management Services  ,Office Expenses,Services to People,Asian Heritage Staff,"7,000.00",400705,12774,,,,,,,,,,,
07/02/2018,ZSA285361,1,8246,DJS Research Limited,190000,Facilities & Management Services  ,Office Expenses,Services to People,Modernisation,"10,150.00",400710,11876,,,,,,,,,,,
07/02/2018,ZSA285399,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,4th Floor ASC,"9,263.94",402001,11140,,,,,,,,,,,
07/02/2018,ZSA285399,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,4th Floor ASC,73.50,402001,11140,,,,,,,,,,,
07/02/2018,ZSA285399,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,4th Floor ASC,73.50,402001,11140,,,,,,,,,,,
15/02/2018,ZSA285805,1,12193,Greater Manchester Combined Au,999999,Fees and Charges,Fees and Charges,Services to People,Assistant Director - Strategy & Performa,"6,835.90",401035,11883,,,,,,,,,,,
19/02/2018,ZSA285995,1,7162,OLM Financial Management Ltd,390000,"Works - Construction, Repair & Maintenance  ",Fees and Charges,Services to People,Assistant Director - Strategy & Performa,"12,500.00",401017,11883,,,,,,,,,,,
06/03/2018,ZSA286686,1,6449,Aptean,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Quality Assurance,"8,094.00",402001,11453,,,,,,,,,,,
07/03/2018,ZSA286749,1,1799,Stockport Homes,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to People,Social Fund - Programme,"10,000.00",400100,12705,,,,,,,,,,,
08/03/2018,ZSA286849,1,2209,FR Monkhouse Ltd,140000,Clothing  ,Clothing Uniforms and Laundry,Services to People,Social Fund - Programme,"10,000.00",400606,12705,,,,,,,,,,,
13/03/2018,ZSA287080,1,4369,Pennine Care NHS Trust,999999,UNCLASSIFIED  ,MISCLASSIFIED? CHECK BEFORE PUBLICATION,Services to People,LD Health Staff Contract,"959,064.00",100115,12674,,,,,,,,,,,
14/03/2018,ZSA287125,1,1339,Stockport NHS Foundation Trust,260000,Human Resources  ,Other Payments,Services to People,Transformation Fund-Provider,"18,294.94",100304,12931,,,,,,,,,,,
16/03/2018,ZSA287309,1,944,"Prism Medical UK, Westholm Div",181800,Environmental Services Technical Equipment ,Furniture and Equipment,Capital Expenditure,Disabled Facilities Grants-Mandatory,"8,970.00",400111,C.10004,,,,,,,,,,,
16/03/2018,ZSA287309,2,944,"Prism Medical UK, Westholm Div",181800,Environmental Services Technical Equipment ,Furniture and Equipment,Capital Expenditure,Disabled Facilities Grants-Mandatory,"3,220.00",400111,C.10004,,,,,,,,,,,
26/03/2018,ZSA287696,1,1572,Theraposture Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Disabled Facilities Grants-Mandatory,"11,880.00",200301,C.10004,,,,,,,,,,,
13/02/2018,ZSB285679,1,757,Transport for Greater Manchest,261600,Human Resources Travel & Subsistence ,Travelling Expenses,Services to People,Highfields Inclusion Partnership,"5,000.00",300500,10329,,,,,,,,,,,
11/01/2018,ZSH283998,1,12567,Building  Research  Establishm,150000,Consultancy   ,Professional Fees,Services to Place,Housing Strategy,"10,837.00",401007,10955,,,,,,,,,,,
23/02/2018,ZSH286208,1,1799,Stockport Homes,152050,Consultancy  Property ,Capital Expenditure - Fees,Services to Place,Housing Strategy,"14,535.00",200309,10955,,,,,,,,,,,
14/02/2018,ZZC281464-005,1,3707,Salford City Council/Finance,390000,"Works - Construction, Repair & Maintenance  ",Fees and Charges,Services to People,RAA Adoption Count,"2,800.00",401017,12957,,,,,,,,,,,
14/02/2018,ZZC281464-005,2,3707,Salford City Council/Finance,390000,"Works - Construction, Repair & Maintenance  ",Fees and Charges,Services to People,RAA Adoption Count,"2,800.00",401017,12957,,,,,,,,,,,
02/01/2018,ZZC283557,1,12488,FAMILIES FOR CHILDREN,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"28,667.00",530306,12957,,,,,,,,,,,
02/01/2018,ZZC283557,2,12488,FAMILIES FOR CHILDREN,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"14,333.00",530306,12957,,,,,,,,,,,
02/01/2018,ZZC283558,1,6702,Cheshire West and Chester Coun,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"40,500.00",530306,12957,,,,,,,,,,,
02/01/2018,ZZC283559,1,2109,Rochdale MBC,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"27,000.00",530306,12957,,,,,,,,,,,
02/01/2018,ZZC283560,1,5224,After Adoption,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"27,000.00",530306,12957,,,,,,,,,,,
02/01/2018,ZZC283573,1,12536,CARITAS CARE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"81,000.00",530306,12957,,,,,,,,,,,
03/01/2018,ZZC283645,1,628,Life Leisure,150000,Consultancy   ,Professional Fees,Services to People,S2S-SSCO Partnership,"6,591.66",401020,10716,,,,,,,,,,,
03/01/2018,ZZC283648,1,12180,Acorn Care and Education,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"12,321.94",401024,10372,,,,,,,,,,,
05/01/2018,ZZC283749,1,4190,Derbyshire County Council,170000,Education  ,Third party payments - Public Sector,Services to People,Lea-Other Local Authorities,"5,885.62",500304,10371,,,,,,,,,,,
08/01/2018,ZZC283798,1,1339,Stockport NHS Foundation Trust,999999,Fees and Charges,Fees and Charges,Services to People,EHP Early Intervention Grant,"80,127.00",402404,12600,,,,,,,,,,,
11/01/2018,ZZC284011,1,7167,Cheshire East Borough Council.,170000,Education  ,Third party payments - Public Sector,Services to People,Lea-Other Local Authorities,"7,125.00",500304,10371,,,,,,,,,,,
22/01/2018,ZZC284439,1,12180,Acorn Care and Education,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"6,824.46",401024,10372,,,,,,,,,,,
22/01/2018,ZZC284440,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,911.19",401024,10372,,,,,,,,,,,
