Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS,,,,
27/07/2018,ZAV294473,2,12402,VeryPC Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,15.00,400105,13001,,,,
17/09/2018,ZAV296824,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"7,215.00",402001,13001,,,,
17/09/2018,ZAV296824,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,120.00,402001,13001,,,,
21/09/2018,ZAV297100,1,13068,addNetworks,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,960.00,400105,13001,,,,
21/09/2018,ZAV297100,2,13068,addNetworks,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"1,992.00",400105,13001,,,,
21/09/2018,ZAV297100,3,13068,addNetworks,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,392.00,400105,13001,,,,
21/09/2018,ZAV297100,4,13068,addNetworks,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,440.00,400105,13001,,,,
21/09/2018,ZAV297100,5,13068,addNetworks,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,15.00,400105,13001,,,,
21/09/2018,ZAV297100,6,13068,addNetworks,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"2,496.00",400105,13001,,,,
26/09/2018,ZAV297381,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"7,214.00",402001,13001,,,,
26/09/2018,ZAV297381,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"1,312.50",402001,13001,,,,
26/09/2018,ZAV297381,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,680.00,402001,13001,,,,
26/09/2018,ZAV297381,4,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,200.00,402001,13001,,,,
05/07/2018,ZSA293324,1,12986,Gerontological Concerns LTD,110000,Catering  ,Office Expenses,Services to People,Safeguarding Adults Board,"6,360.00",400713,12825,,,,
05/07/2018,ZSA293330,1,4369,Pennine Care NHS Trust,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Transformation Fund-Enablers,"13,358.76",402001,12929,,,,
05/07/2018,ZSA293330,2,4369,Pennine Care NHS Trust,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Transformation Fund-Enablers,"3,684.00",402061,12929,,,,
05/07/2018,ZSA293330,3,4369,Pennine Care NHS Trust,202000,Financial Services Rents ,Rents,Services to People,Transformation Fund-Enablers,"12,000.00",200700,12929,,,,
05/07/2018,ZSA293330,4,4369,Pennine Care NHS Trust,202000,Financial Services Rents ,Rents,Services to People,Transformation Fund-Enablers,"7,500.00",200700,12929,,,,
09/08/2018,ZSA295131,1,658,Disability Stockport,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Services to People,Modernisation,"45,000.00",500530,11876,,,,
17/07/2018,ZSA293887,1,1644,Tameside MBC,999999,Third party payments - Public Sector,Third party payments - Public Sector,Services to People,Mental Capacity Act Grant,"51,048.00",500303,11691,,,,
26/07/2018,ZSA294411,1,10081,Doro Care Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,"5,160.00",400105,C.11424,,,,
26/07/2018,ZSA294411,2,10081,Doro Care Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,840.00,400105,C.11424,,,,
26/07/2018,ZSA294411,3,10081,Doro Care Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,545.00,400105,C.11424,,,,
26/07/2018,ZSA294412,1,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,723.00,400105,C.11424,,,,
26/07/2018,ZSA294412,2,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,600.00,400105,C.11424,,,,
26/07/2018,ZSA294412,3,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,"1,500.00",400105,C.11424,,,,
26/07/2018,ZSA294412,4,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,"6,400.00",400105,C.11424,,,,
26/07/2018,ZSA294399,1,1644,Tameside MBC,999999,Fees and Charges,Fees and Charges,Services to People,Info S&P Special Projects,"50,000.00",401035,11878,,,,
30/07/2018,ZSA294582,1,13048,Ferguson Partnership Limited,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Old People Mgt Head Of Service& Managers,"68,640.00",100290,11590,,,,
01/08/2018,ZSA294727,1,1117,OLM Systems Ltd,390000,"Works - Construction, Repair & Maintenance  ",Fees and Charges,Services to People,Information Management,"30,000.00",401017,11870,,,,
31/08/2018,ZSA295979,1,11476,Salford Community Leisure Ltd,150000,Consultancy   ,Professional Fees,Services to People,Development Fund,"7,947.00",401020,11057,,,,
07/08/2018,ZSA294933,1,13048,Ferguson Partnership Limited,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Transformation Fund-Provider,"57,200.00",100290,12931,,,,
07/08/2018,ZSA295021,1,13063,Access Independent,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Improved Better Care Fund,"8,400.00",100290,13000,,,,
09/08/2018,ZSA295103,1,13063,Access Independent,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Improved Better Care Fund,"13,155.00",100290,13000,,,,
13/08/2018,ZSA295211,1,1799,Stockport Homes,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Preventative TechGy,"224,344.00",400110,11011,,,,
22/08/2018,ZSA295616,1,3529,Totally Local Company Ltd,130000,Cleaning & Janitorial  ,Cleaning,Services to People,Redcroft Residential,"7,000.00",201602,11675,,,,
28/08/2018,ZSA295821,1,13083,Abbotsound Ltd,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,LD Residential & Nursing Care purchasing,"55,000.00",530333,11837,,,,
31/08/2018,ZSA295978,1,13083,Abbotsound Ltd,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,LD Residential & Nursing Care purchasing,"20,000.00",530333,11837,,,,
07/09/2018,ZSA296375,1,13083,Abbotsound Ltd,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,LD Residential & Nursing Care purchasing,"20,000.00",530333,11837,,,,
07/09/2018,ZSA296345,1,4369,Pennine Care NHS Trust,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Ld Service Mgt Costs Medical Services,"46,762.56",100290,11828,,,,
06/09/2018,ZSA296295,1,1644,Tameside MBC,170000,Education  ,Third party payments - Public Sector,Services to People,Safeguarding Adults,"51,048.00",500302,12424,,,,
06/09/2018,ZSA296296,1,5669,Equity Housing Group (Rents),181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Improved Better Care Fund,"28,248.00",400110,13000,,,,
07/09/2018,ZSA296344,1,3707,Salford City Council/Finance,150000,Consultancy   ,Professional Fees,Services to People,Development Fund,"7,947.00",401020,11057,,,,
14/09/2018,ZSA296739,1,1149,Versapack International Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Improved Better Care Fund,"10,328.00",400110,13000,,,,
18/09/2018,ZSA296961,1,11807,Aidan Gaunt Funeral Director,120000,Cemetery & Crematorium   ,Fees and Charges,Services to People,Oap Misc Heatons/Reddish,"10,000.00",401200,11519,,,,
19/09/2018,ZSA296982,1,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,749.40,400105,C.11424,,,,
19/09/2018,ZSA296982,2,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,32.50,400105,C.11424,,,,
19/09/2018,ZSA296982,3,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,14.00,400105,C.11424,,,,
19/09/2018,ZSA296982,4,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,30.00,400105,C.11424,,,,
19/09/2018,ZSA296982,5,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,816.00,400105,C.11424,,,,
19/09/2018,ZSA296982,6,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,"2,250.00",400105,C.11424,,,,
19/09/2018,ZSA296982,7,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,"2,250.00",400105,C.11424,,,,
19/09/2018,ZSA296982,8,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,52.00,400105,C.11424,,,,
19/09/2018,ZSA296982,9,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Telecare Equipment,"1,400.00",400105,C.11424,,,,
28/09/2018,ZSA650067,1,9715,NHS Stockport CCG,260000,Human Resources  ,Other Payments,Services to People,Proactive Care,"116,193.00",100304,12829,,,,
17/07/2018,ZZC293891,1,4617,Creative Support Ltd,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Tenancy Options Phase 9 Creative Support,"446,682.00",530330,12937,,,,
02/07/2018,ZZC293112,1,12974,Andrew Webb Consulting Limited,150000,Consultancy   ,Professional Fees,Services to People,Tameside Partnership,"13,000.00",401007,13004,,,,
02/07/2018,ZZC293113,1,1722,The Together Trust Centre,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent School Fees Non Maintained Sch,"49,772.00",401024,12710,,,,
04/07/2018,ZZC293200,1,12191,WILMSLOW HIGH SCHOOL,170000,Education  ,Third party payments - Public Sector,Services to People,Lea-Other Local Authorities,"17,696.00",500304,10371,,,,
04/07/2018,ZZC293199,1,12936,Rolls Crescent Primary School,170000,Education  ,Third party payments - Public Sector,Services to People,Lea-Other Local Authorities,"7,157.00",500304,10371,,,,
05/07/2018,ZZC293338,1,9891,Link Maker Systems Ltd.,200000,Financial Services  ,Fees and Charges,Services to People,RAA Adoption Count,"33,246.96",402401,12957,,,,
05/07/2018,ZZC293303,1,12180,Acorn Care and Education,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"28,340.00",401024,10372,,,,
05/07/2018,ZZC293369,1,12991,MENCAP PERSONAL SUPPORT,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Tenancy Options Phase 8 Mencap,"968,348.00",530330,12924,,,,
17/07/2018,ZZC293890,1,12991,MENCAP PERSONAL SUPPORT,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Tenancy Options Phase 7 Mencap,"413,102.00",530330,12920,,,,
10/07/2018,ZZC293525,1,11308,Chroma Therapies Ltd,999999,Fees and Charges,Fees and Charges,Services to People,RAA - Regionalisation ASF Grant,"9,900.00",401035,12968,,,,
10/07/2018,ZZC293528,1,6795,STAFFORDSHIRE COUNTY COUNCIL,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Perip-Classroom Assistant - Learning Dif,"15,250.00",401024,10300,,,,
10/07/2018,ZZC293529,1,9220,NGA NATIONAL GOVERNORS ASSOCIA,200000,Financial Services  ,Fees and Charges,Services to People,SI - School Govern,"9,000.00",402401,10755,,,,
17/07/2018,ZZC293889,1,12987,Cherry Tree Vale T/A Home Focu,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Tenancy Options Phase 1 Home Focus,"325,803.00",530330,12776,,,,
17/07/2018,ZZC293888,1,12987,Cherry Tree Vale T/A Home Focu,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Tenancy Options Phase 5 Home Focus,"301,870.00",530330,12861,,,,
17/07/2018,ZZC293886,1,12991,MENCAP PERSONAL SUPPORT,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Tenancy Options Phase 7 Mencap,"413,102.00",530330,12920,,,,
10/07/2018,ZZC293538,1,12362,Intercountry Adoption Centre,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,SC - NW Strategic Safeguarding,"15,000.00",530356,11491,,,,
10/07/2018,ZZC293550,1,12171,KEYS CHILDCARE LTD,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"29,027.78",401024,10372,,,,
11/07/2018,ZZC293656,1,10036,Social Lettings Stockport Home,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,School Strategy consultations,"15,690.00",200123,12278,,,,
12/07/2018,ZZC293704,1,12855,Family Society - Adoption Focu,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"9,000.00",530306,12957,,,,
13/07/2018,ZZC293746,1,13017,Armitage C.E. Primary School,170000,Education  ,Third party payments - Public Sector,Services to People,Lea-Other Local Authorities,"17,581.50",500304,10371,,,,
18/07/2018,ZZC293967,1,12855,Family Society - Adoption Focu,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"9,000.00",530306,12957,,,,
23/07/2018,ZZC294235,1,1339,Stockport NHS Foundation Trust,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,DP - Respite,"6,720.00",530335,11513,,,,
17/07/2018,ZZC293912,1,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,School Strategy consultations,"15,690.00",200123,12278,,,,
18/07/2018,ZZC293999,1,1104,Age UK Stockport,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Services to People,ST - Communities,"252,568.00",402403,12803,,,,
18/07/2018,ZZC294016,1,10337,SIGNPOST STOCKPORT for CARERS,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Services to People,ST - Communities,"65,047.00",402403,12803,,,,
26/07/2018,ZZC294410,1,1799,Stockport Homes,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,PH-Physical Activity,"3,510.00",400110,12834,,,,
26/07/2018,ZZC294410,2,1799,Stockport Homes,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,PH-Physical Activity,"1,282.26",400110,12834,,,,
26/07/2018,ZZC294410,3,1799,Stockport Homes,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,PH-Physical Activity,175.00,400110,12834,,,,
26/07/2018,ZZC294410,4,1799,Stockport Homes,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,PH-Physical Activity,112.00,400110,12834,,,,
20/07/2018,ZZC294146,1,628,Life Leisure,150000,Consultancy   ,Professional Fees,Services to People,S2S-SSCO Partnership,"15,319.92",401020,10716,,,,
31/07/2018,ZZC294683,1,13014,DFW Adoption,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"31,000.00",530306,12957,,,,
25/07/2018,ZZC294361,1,1449,Phonak UK ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to People,Perip-Sensory Support Service,469.20,400105,10325,,,,
25/07/2018,ZZC294361,2,1449,Phonak UK ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to People,Perip-Sensory Support Service,"3,694.72",400105,10325,,,,
25/07/2018,ZZC294361,3,1449,Phonak UK ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to People,Perip-Sensory Support Service,"1,509.72",400105,10325,,,,
25/07/2018,ZZC294361,4,1449,Phonak UK ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to People,Perip-Sensory Support Service,278.80,400105,10325,,,,
25/07/2018,ZZC294361,5,1449,Phonak UK ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to People,Perip-Sensory Support Service,246.00,400105,10325,,,,
25/07/2018,ZZC294361,6,1449,Phonak UK ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to People,Perip-Sensory Support Service,4.60,400105,10325,,,,
30/08/2018,ZZC295935,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,Stockport Family Senior Management,"80,410.00",500402,11486,,,,
26/07/2018,ZZC294401,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,Stockport Family Senior Management,"26,250.00",500402,11486,,,,
31/07/2018,ZZC294650,1,1339,Stockport NHS Foundation Trust,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,DP - Respite,"13,100.00",530335,11513,,,,
03/08/2018,ZZC294847,1,7216,Blackpool Council.,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"43,000.00",530306,12957,,,,
03/08/2018,ZZC294846,1,4752,Barnsley MBC,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,RAA Adoption Count,"27,000.00",530306,12957,,,,
03/08/2018,ZZC294858,1,628,Life Leisure,999999,UNCLASSIFIED  ,MISCLASSIFIED? CHECK BEFORE PUBLICATION,Services to People,S2S-SSCO Partnership,"5,649.96",100100,10716,,,,
14/09/2018,ZZC296759,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,SHV CSC Locality Lead,"2,997.00",500402,11514,,,,
14/09/2018,ZZC296759,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,HTV CSC Locality Lead,"2,997.00",500402,11516,,,,
14/09/2018,ZZC296759,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,CB/MW CSC Locality Lead,"3,006.00",500402,12188,,,,
14/09/2018,ZZC296755,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,SHV CSC Locality Lead,"5,244.75",500402,11514,,,,
14/09/2018,ZZC296755,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,HTV CSC Locality Lead,"5,244.75",500402,11516,,,,
14/09/2018,ZZC296755,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,CB/MW CSC Locality Lead,"5,260.50",500402,12188,,,,
24/08/2018,ZZC295752,1,10572,Cranage Hall,260000,Human Resources  ,Staff Training,Services to People,SI - Advisers,"13,148.00",102020,10727,,,,
28/08/2018,ZZC295815,1,1722,The Together Trust Centre,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,DP - Respite,"103,000.00",530335,11513,,,,
22/08/2018,ZZC295637,1,3538,The University of Sheffield,999999,Fees and Charges,Fees and Charges,Services to People,Incl - Psychologists,"16,950.00",401035,10751,,,,
23/08/2018,ZZC295692,1,10161,Mark Hancock Ltd,150000,Consultancy   ,Professional Fees,Services to People,Incl - Psychologists,"6,000.00",401007,10751,,,,
24/08/2018,ZZC295716,1,1722,The Together Trust Centre,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent School Fees Non Maintained Sch,"31,000.00",401024,12710,,,,
30/08/2018,ZZC295900,1,13109,4 Mental Health Ltd,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Mental Wellbeing,"22,700.00",561704,12734,,,,
12/09/2018,ZZC296571,1,12237,"CGL (Change, Grow, Live)",310000,Healthcare  ,Third party payments - Public Sector,Services to People,PH-Drug and Alcohol,"250,000.00",500402,12731,,,,
06/09/2018,ZZC296290,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,911.12",401024,10372,,,,
07/09/2018,ZZC296321,1,12180,Acorn Care and Education,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"24,359.52",401024,10372,,,,
07/09/2018,ZZC296339,1,1722,The Together Trust Centre,150000,Consultancy   ,Professional Fees,Services to People,Perip-Classroom Assistant - Learning Dif,"21,660.00",401020,10300,,,,
07/09/2018,ZZC296371,1,12180,Acorn Care and Education,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"23,790.82",401024,10372,,,,
11/09/2018,ZZC296554,1,12161,GS Social Care Solutions Ltd,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,DP - Respite,"8,785.00",530335,11513,,,,
12/09/2018,ZZC296570,1,628,Life Leisure,150000,Consultancy   ,Professional Fees,Services to People,PH-Physical Activity,"10,750.00",401020,12834,,,,
12/09/2018,ZZC296610,1,1722,The Together Trust Centre,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,DP - Respite,"14,000.00",530335,11513,,,,
24/09/2018,ZZC297252,1,9715,NHS Stockport CCG,390000,Supplies and services,Supplies and services,Services to People,PH-Health Protection,"11,800.00",401600,12739,,,,
20/09/2018,ZZC297043,1,1966,I Can Training,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent School Fees Non Maintained Sch,"26,442.70",401024,12710,,,,
25/09/2018,ZZC297259,1,12337,Priory Education Services - Ol,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"22,939.99",401024,10372,,,,
25/09/2018,ZZC297260,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297261,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297280,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297279,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297278,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297277,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297276,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297275,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297274,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297273,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297272,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297271,1,1669,Charnwood Nursery,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"8,227.34",401024,10372,,,,
25/09/2018,ZZC297265,1,12180,Acorn Care and Education,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"21,415.00",401024,10372,,,,
25/09/2018,ZZC297264,1,12367,Beech Hall School,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"14,678.79",401024,10372,,,,
25/09/2018,ZZC297263,1,4083,Hulme Hall School,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"10,512.44",401024,10372,,,,
25/09/2018,ZZC297262,1,4083,Hulme Hall School,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"7,959.66",401024,10372,,,,
27/09/2018,ZZC297446,1,4083,Hulme Hall School,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,"21,024.86",401024,10372,,,,
27/09/2018,ZZC297525,1,4083,Hulme Hall School,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Perip-Classroom Assistant - Learning Dif,"5,766.00",401024,10300,,,,
