supplier_name,account_name,service,total_value,Privilege,trade_cat
BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,18000,Health,85000000
BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,9000,Health,85000000
BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,18000,Health,85000000
BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,9000,Health,85000000
BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,9000,Health,85000000
BERRYMANS LACE MAWER LLP,INPUT VAT -  ADJUSTMENTS,RESOURCES,5000,Legal,79100000
BEVAN BRITTAN LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,14921,Legal,79100000
BEVAN BRITTAN LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,17472,Legal,79000000
BEVAN BRITTAN LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,11600,Legal,79000000
BEVAN BRITTAN LLP,LEGAL SERVICES EXTERNAL,EARLY HELP AND SCHOOLS,9850.5,Legal,79100000
BEVAN BRITTAN LLP,LEGAL SERVICES EXTERNAL,EARLY HELP AND SCHOOLS,5518.32,Legal,79100000
BEVAN BRITTAN LLP,CONSULTANT FEES,EARLY HELP AND SCHOOLS,7076,Legal,79100000
BEVAN BRITTAN LLP,CONSULTANT FEES,EARLY HELP AND SCHOOLS,5668.44,Legal,79100000
BEVAN BRITTAN LLP,LEGAL SERVICES EXTERNAL,EARLY HELP AND SCHOOLS,11835.4,Legal,79100000
BEVAN BRITTAN LLP,CONSULTANT FEES,ECONOMY DIRECTORATE,9163,Legal,79000000
BIBLIOTHECA,SUBSCRIPTIONS,NEIGHBOURHOODS AND ENVIRONMENT,9948,Paper,22110000
BIFFA WASTE SERVICES LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,5000,Environment,90500000
BIFFA WASTE SERVICES LIMITED,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT,11570,Environment,90500000
BIFFA WASTE SERVICES LIMITED,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT,7644,Environment,90500000
BLACKBERRY UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,11900,Data,72000000
BRITISH TELECOMMUNICATIONS PLC,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,8008.91,Utility,64200000
BRITISH TELECOMMUNICATIONS PLC,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT,8008.91,Utility,64200000
BRITISH TELECOMMUNICATIONS PLC,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,6463.37,Equipment,51300000
BRITISH TELECOMMUNICATIONS PLC,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,134000,Data,72000000
BRITISH TELECOMMUNICATIONS PLC,ROADWORKS,PROPERTY AND HIGHWAYS,5767.3,Buildings,71356300
BRITISH TELECOMMUNICATIONS PLC,MINOR BUILDING WORKS,ECONOMY DIRECTORATE,9163.8,Buildings,71316000
BRITISH TELECOMMUNICATIONS PLC,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS,7159.91,Media,32430000
BROXAP LIMITED,PURCHASE OF FURNITURE AND EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT,5500,Transport,34928480
BROXAP LIMITED,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT,5500,Transport,34928480
BROXAP LIMITED,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT,11000,Transport,34928480
BROXAP LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,6300,Transport,34928480
BROXAP LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,6750,Transport,34928480
BROXAP LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,6750,Transport,34928480
BROXAP LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,6750,Transport,34928480
BROXAP LIMITED,PURCHASE OF FURNITURE AND EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT,6750,Transport,34928480
CAMBIAN CHILDCARE LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS,34410.1,Health,85000000
CANAL AND RIVER TRUST,REPAIRS & ALTS OF BUILDINGS,PROPERTY AND HIGHWAYS,15518.3,Legal,79000000
CANAL AND RIVER TRUST,ROCHDALE CANAL MAINTENANCE,ECONOMY DIRECTORATE,299874,Legal,79000000
CANAL AND RIVER TRUST,ROCHDALE CANAL MAINTENANCE,ECONOMY DIRECTORATE,154089,Material Handling,45442120
CANAL AND RIVER TRUST,ROCHDALE CANAL MAINTENANCE,ECONOMY DIRECTORATE,154089,Material Handling,45442120
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,114640,Data,48000000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,110569,Data,48610000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,36486.6,Data,48000000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,154539,Data,48000000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,EARLY HELP AND SCHOOLS,29400,Utility,64100000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,11500,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,8116,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,50348.3,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,6000,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,11500,Development,73200000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,11500,Development,73200000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,6973.7,Development,73200000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,5640.05,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,50000,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,15823.4,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,6547,Data,48000000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES,10204,Legal,79811000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,18000,Legal,79811000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,58000,Legal,79811000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,23000,Legal,79811000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,8331.65,Legal,79811000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,59334,Legal,79811000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,11500,Legal,79510000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,10767,Legal,79510000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,11750,Legal,79510000
CAPITA BUSINESS SERVICES LIMITED,BANK CHARGES,RESOURCES,10007,Data,72260000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,62826,Legal,79510000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,5893,Legal,79510000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,60000,Legal,79510000
CAPITA BUSINESS SERVICES LIMITED,BANK CHARGES,RESOURCES,17042,Data,48000000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,64329.5,Data,48000000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES,42000,Data,48000000
CAPITA BUSINESS SERVICES LIMITED,RECRUITMENT AGENCY FEES,RESOURCES,10000,Utility,64100000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES,157737,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES,106573,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,166266,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,56882,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,106573,Legal,79620000
CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,150453,Utility,64100000
CAPITA RESOURCING LIMITED,RECRUITMENT AGENCY FEES,FINANCE SERVICES,7500,Data,48000000
CARE QUALITY COMMISSION,FEES / COMMISSION,LEARNING DIS & MENTAL HEALTH,5553,Development,73000000
CDEC LIMITED,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT,6067.55,Data,30231310
CDEC LIMITED,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT,8757.32,Media,32321200
CIPFA BUSINESS LIMITED,TRAINING-NON QUALIFICATION,RESOURCES,6175,Legal,79200000
CIPFA BUSINESS LIMITED,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,RESOURCES,5890,Legal,79200000
CIPFA BUSINESS LIMITED,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,RESOURCES,6010,Education,80532000
CIPFA BUSINESS LIMITED,TRAINING-NON QUALIFICATION,RESOURCES,6300,Education,80532000
CIPFA BUSINESS LIMITED,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,RESOURCES,6190,Education,80532000
CIPFA BUSINESS LIMITED,TRAINING-NON QUALIFICATION,RESOURCES,6405,Education,80532000
CIVICA UK LIMITED,ICT,NEIGHBOURHOODS AND ENVIRONMENT,8447.12,Data,72000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,47676.5,Data,48812000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,16708,Data,48000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,16708,Data,48000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,42058.2,Data,48000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,24260.8,Data,48000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,22605,Data,48000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,42058.2,Data,48000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,12531,Data,48000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,19500,Data,48000000
CIVICA UK LIMITED,AGENCY STAFF,FINANCE SERVICES,38480,Data,72000000
CIVICA UK LIMITED,AGENCY STAFF,FINANCE SERVICES,28860,Data,72000000
CIVICA UK LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES,140808,Data,72000000
CIVICA UK LIMITED,AGENCY STAFF,FINANCE SERVICES,28860,Data,72000000
CIVICA UK LIMITED,AGENCY STAFF,FINANCE SERVICES,28860,Data,72000000
CIVICA UK LIMITED,AGENCY STAFF,FINANCE SERVICES,12250,Data,72000000
CIVICA UK LIMITED,AGENCY STAFF,FINANCE SERVICES,11975.7,Data,72000000
CIVICA UK LIMITED,SOFTWARE,RESOURCES,5525,Data,48000000
CIVICA UK LIMITED,SOFTWARE,RESOURCES,35235,Data,48000000
CIVICA UK LIMITED,SOFTWARE,RESOURCES,15000,Data,48000000
CIVICA UK LIMITED,SOFTWARE,RESOURCES,24843,Data,48000000
CIVICA UK LIMITED,SOFTWARE,RESOURCES,5976.52,Data,48000000
CIVICA UK LIMITED,SOFTWARE,RESOURCES,10393.8,Data,48000000
CIVICA UK LIMITED,SOFTWARE,RESOURCES,396933,Data,48000000
CIVICA UK LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES,7000,Data,72000000
CIVICA UK LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES,16380,Data,72000000
CIVICA UK LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES,21985.8,Data,72000000
CIVICA UK LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES,24346.2,Data,72000000
CIVICA UK LIMITED,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES,28800,Data,72000000
CIVICA UK LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES,21983.4,Data,72000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,8128.37,Data,72261000
CIVICA UK LIMITED,PROFESSIONAL FEES,FINANCE SERVICES,9000,Data,72000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,42058.2,Data,72000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,24516.6,Data,72000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,22139.7,Data,72000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,16983,Data,72000000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,8447.12,Data,72212218
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,22582.5,Legal,79512000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,21041.2,Legal,79512000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,42058.2,Legal,79512000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,16625.7,Legal,79512000
CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,8742.77,Data,48160000
COVENTRY CITY COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,18000,Material,44212000
CRITIQOM LIMITED,PRINTING,EARLY HELP AND SCHOOLS,8000,Paper,22000000
CRITIQOM LIMITED,PRINTING,EARLY HELP AND SCHOOLS,11080.1,Legal,79800000
CRITIQOM LIMITED,POSTAGE,FINANCE SERVICES,50000,Paper,22000000
CRITIQOM LIMITED,SOFTWARE,RESOURCES,46000,Utility,64110000
CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES,50000,Utility,64110000
CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES,50000,Utility,64110000
CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES,50000,Legal,79800000
